Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Organic Tagua Jewelry,4.9,191,200.0,200.0,200.0,False,True,True,False,True,True,False,10,8
WorldFinds,5.0,529,100.0,100.0,100.0,True,True,True,False,False,True,False,4,1
Anju Jewelry,4.9,1255,75.0,75.0,75.0,True,True,True,False,False,True,False,7,4
Baizaar,5.0,405,150.0,150.0,150.0,False,True,False,False,False,True,False,3,1
Anne Vaughan Designs Jewelry,4.9,87,0.0,0.0,200.0,False,False,True,False,False,True,False,34,20
