tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_haj2cumx4a,"European Stores, Take 20% Off Your Order!",ONE_TIME,COMPLETED,1644422400000.0,83.0,69.0,12.0,0.0,0.0,0.0,0.0,0.0
bmc_fapjk4ahf7,Introducing: The Gretchen Necklace,ONE_TIME,COMPLETED,1644336000000.0,23497.0,20260.0,2090.0,40.0,2.0,410.99,1.0,156.09
bmc_mf874q6hfu,Faire Winter Market 2022,ONE_TIME,DRAFT,,,,,,,,,
bmc_8y8wnng893,Shop Tagua's Winter Sale Now!,ONE_TIME,COMPLETED,1643817600000.0,23486.0,20267.0,2167.0,39.0,12.0,8177.02,6.0,4315.37
bmc_5pp2v2hm6w,Tagua Winter Sale Starts Today! ,ONE_TIME,COMPLETED,1643644800000.0,23481.0,20272.0,2153.0,58.0,17.0,9931.14,7.0,3722.99
bmc_wykgcwpjeb,Want 20% Off Your Tagua Order?,ONE_TIME,COMPLETED,1643212800000.0,83.0,70.0,6.0,0.0,0.0,0.0,0.0,0.0
bmc_zpr3jur3pw,Featured Material: Bombona Seeds,ONE_TIME,COMPLETED,1643126400000.0,23479.0,20289.0,2130.0,49.0,8.0,4452.07,0.0,0.0
bmc_ce8ksda636,The Gracia Collection,ONE_TIME,COMPLETED,1642514400000.0,23476.0,19814.0,2064.0,54.0,1.0,469.26,0.0,0.0
bmc_pqj8xtcnuf,Tagua is Now in Europe!,ONE_TIME,COMPLETED,1642082400000.0,82.0,69.0,6.0,0.0,1.0,17.0,0.0,0.0
bmc_uemzwq65wd,Start the year in style with Tagua!,ONE_TIME,COMPLETED,1641916800000.0,23474.0,19354.0,897.0,36.0,1.0,17.0,1.0,258.0
bmc_qk92vzrsgm,Last Chance for $200 Off your First Order!,ONE_TIME,COMPLETED,1640793600000.0,17377.0,14894.0,651.0,13.0,0.0,0.0,0.0,0.0
bmc_t8u6qn4ugm,"New Tagua, $200 Off, AND Free Shipping!",ONE_TIME,COMPLETED,1640188800000.0,17386.0,14708.0,551.0,10.0,0.0,0.0,0.0,0.0
bmc_zqc57nz5ca,Get Free Shipping + $200 Off Now!,ONE_TIME,COMPLETED,1639584000000.0,17397.0,14712.0,689.0,11.0,0.0,0.0,0.0,0.0
bmc_w7jyvzxa7d,Don't Miss Out on $200 Off your First Order!,ONE_TIME,COMPLETED,1638979200000.0,17406.0,14568.0,676.0,10.0,0.0,0.0,0.0,0.0
bmc_nxgqpxehcd,All New Stackable Bracelets,ONE_TIME,COMPLETED,1641225600000.0,23472.0,19732.0,816.0,14.0,0.0,0.0,0.0,0.0
bmc_9kfvqw3m9q,Pretty in Pastels,ONE_TIME,COMPLETED,1640620800000.0,23470.0,19668.0,852.0,20.0,0.0,0.0,0.0,0.0
bmc_qrtn7hbdg7,Say Hello to our New Brittany Necklace!,ONE_TIME,COMPLETED,1640016000000.0,23469.0,19490.0,880.0,14.0,2.0,1349.45,0.0,0.0
bmc_jdnzjs45qv,Introducing our New 2022 Spring/Summer Collection,ONE_TIME,COMPLETED,1639411200000.0,23470.0,19440.0,1092.0,27.0,1.0,721.12,0.0,0.0
bmc_chnqtjt84a,Our New 2022 Spring/Summer Collection is Here!,ONE_TIME,COMPLETED,1638806400000.0,23469.0,19236.0,3010.0,95.0,3.0,1794.56,0.0,0.0
bmc_mwu7xttyjs,FREE Shipping + $200 Off Your First Order,ONE_TIME,COMPLETED,1638374400000.0,17418.0,14405.0,1755.0,25.0,0.0,0.0,0.0,0.0
bmc_u8jfhbafd4,Don't Miss Out on Extra Holiday Savings!,ONE_TIME,COMPLETED,1638201600000.0,23468.0,18464.0,2528.0,80.0,6.0,2397.25,4.0,1286.93
bmc_yd5ean694x,Save up to 75% - Shop the Sale Now!,ONE_TIME,COMPLETED,1637596800000.0,23466.0,19322.0,2298.0,51.0,2.0,634.37,1.0,310.44
bmc_rntd79jwys,Get $200 Off your First Order!,ONE_TIME,COMPLETED,1637769600000.0,17432.0,14343.0,1903.0,29.0,0.0,0.0,0.0,0.0
bmc_8f3eqr83fu,Get $200 Off AND Free Shipping!,ONE_TIME,COMPLETED,1637164800000.0,17449.0,14689.0,1726.0,33.0,0.0,0.0,0.0,0.0
