tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_yr82ug2urw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687205538000,True,True,r_5g08haax,7355,Sap House Meadery,http://www.saphousemeadery.com,Grocery or Liquor Store
bo_fcp5f7vex8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687202238000,False,False,r_4ouvl5vi7i,31727,FarmBox Delivery,http://farmboxdelivery.com/,General or Mercantile Store
bo_39tszr758p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687185453000,False,False,r_2k88ua1zfk,31823,Draper girls country farm,"https://maps.google.com/?q=6200+OR-35,+Mt+Hood,+OR+97041,+USA&ftid=0x5495fdfaa9fdba91:0x72b061f6de5950b",
bo_jvmut4pdqr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687184853000,False,False,r_byw9bf4q,9425,Mohonk Mountain House,http://www.mohonk.com/,Gift Store
bo_jy8j6ty3p6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687128153000,False,False,r_smvqfyzwg8,14747,The Fisherman's Daughter at Dockside Fish Market,http://www.thefishermansdaughtergm.com/,Cafe or Restaurant
bo_cmb4fg63zg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687126353000,False,False,r_33qrshx2nh,17321,Biglieri Farms Farm Market,https://maps.google.com/?cid=8351690215562444587,
bo_nbhgqg5bxd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687119453000,False,False,r_6r95jnzex2,8169,Teanaway Country Store,,General or Mercantile Store
bo_2v36kae6ud,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687118853000,False,False,r_qkyhby7evg,8060,Double K Ranch Deli,http://doublekranchmt.com/deli,Cafe or Restaurant
bo_th7yqwxe6j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687117053000,False,False,r_2lbr0bvxf0,12735,Summit Produce at Kirkwood Farmers Market,,Gift Store
bo_mh9n7uxgb6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687114653000,True,True,r_6kybmcwlk0,9763,Pugh's Flowers,http://www.pughs.com/,Florist or Garden Store
bo_jmvr89uypa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687113753000,False,False,r_9fs2anm68k,10738,Raven Hill Bagels,http://www.ravenhillbagels.com/,
bo_h88dvk4v48,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687098453000,False,False,r_pjy9razk4s,25113,Danbury Country Store,http://www.danburycountrystore.com/,General or Mercantile Store
bo_3afaf8f86f,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687088253000,False,False,r_6eerzzt2nx,10002,FairyCross Bottle Shop,http://FairyCrossbottleshop.com,
bo_vurac8fyef,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687051053000,False,False,r_ew5i4qlscs,9274,Mavens Market,http://www.mavensmarket.com/,General or Mercantile Store
bo_7pgz8yudxq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687045053000,False,False,r_1nt3flddfq,10051,The Farm Stand,,Grocery or Liquor Store
bo_zqytbug7p7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687039353000,False,False,r_jqtgam6uat,19083,Schulze Vineyards & Winery,http://www.schulzewines.com/,
bo_f78dxzvcwt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687025253000,False,False,r_ndcb8797t7,12062,A Cook's Cupboard,,General or Mercantile Store
bo_q79sv5dp46,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687018053000,False,False,r_9d0xnuegjg,17570,ADK Trading Post,http://adktradingpost.com/,Gift Store
bo_ykys2pjz97,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686994953000,False,False,r_6eerzzt2nx,8692,FairyCross Bottle Shop,http://FairyCrossbottleshop.com,
bo_vxxn32jvr4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686855616000,True,True,r_5anrqjezar,8364,The Flower Tortillas,http://www.flowertortillas.com/,General or Mercantile Store
bo_6twh267jy8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686851401000,True,True,r_9k603ij1,6768,Prairie Kitchen Store LLC,https://www.prairiekitchenstore.com/,
bo_y6mq7cywyb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686843736000,False,False,r_3gcs2xqlh6,10522,Barrel Chest Wine & Beer,http://barrelchestwineandbeer.com/,Grocery or Liquor Store
bo_fjwev4a8c2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686799336000,True,True,r_rv2eyhxw3s,10601,The Olive Tree Market,http://www.olivetreemarket.com/,Grocery or Liquor Store
bo_j9vxreb5jg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686790336000,False,False,r_j4qs64bnxp,15033,Amburn’s Market,http://Amburnsmkt.com,Grocery or Liquor Store
bo_ubsmmad9pu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686782836000,False,False,r_alyb9l5o,9025,Wildflower and Company,,Home Decor Store
bo_8hwb7jpu3j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686781936000,True,True,r_g6p82t3n6j,8817,Precision Toyota of Tucson,,Cafe or Restaurant
bo_9qauapq7xq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1686775336000,False,False,r_2atcwyg4tf,8844,Pudgy's Tea & Spice,https://www.yakimatea.com/,
