tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_natrduqtkc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707771478000,False,False,r_dmvka38vu8,24548,Big Dick's Salty Seaman LLC,,Clothing Boutique
bo_65tzdr9ze3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1707577457000,False,False,r_dmvka38vu8,42298,Big Dick's Salty Seaman LLC,,Clothing Boutique
bo_8jb4w9qmmt,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1706548473000,True,True,r_ovvl42fxrh,0,Fugates Inc,,Clothing Boutique
bo_yhp38ffg2t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706278773000,True,True,r_yzwad5fb3v,20810,Tux & Stuff,https://tuxandstuff727.wixsite.com/tuxandstuff,Clothing Boutique
bo_jmht3um575,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706202923000,True,True,r_g757an2p2c,15323,Emily Kaye Bridal,http://emilykayebridal.com/,Clothing Boutique
bo_ywf6ucfm6v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706069974000,True,True,r_24j4xxggrs,11450,Littles,,Kids or Toy Store
bo_hsa6fdjjmc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706043946000,False,False,r_2d33b7kr,12450,Not so Shabby Gifts,,Clothing Boutique
bo_qzbf3u55gw,NEW_ORDER,PROCESSING,FULFILLED,ELEVATE,1706037182000,False,False,r_amkvzx3d,40213,Eureka Clothing Company,http://facebook.com/eurekaclothingcompany,Clothing Boutique
bo_exjztxgqmj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1706033582000,False,False,r_c6j2c3jcnj,32209,Dd's Closet,https://maps.google.com/?cid=4678647216065722985,Clothing Boutique
bo_39jmmvhy47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1705932787000,True,True,r_wc6rnymjgn,11450,MAD Styles,https://www.themadstyles.com/,Clothing Boutique
