token,brand_order_token,rating,comment,replies,retailer_name,created_at,publish_at
br_rrdttb2vws,bo_2gq8mghyqf,5,Love!! ,0,Flea Market Chic,1720297879000,1720551600000
br_vjb66ugfwe,bo_v9cnxcdg63,5,Best Customer Service  My package actually never got to me due to the Postal Service but Chris handled the situation swiftly and professionally. Even though I didn’t get the package I will 100% order from Shinesty again! Thanks guys!,0,J Perry Salon,1713831500000,1714071600000
br_hrhx6m5f73,bo_6eyejcwbaz,5,Great Products and Fast shipping Super fun made well and packaged well. Cant wait to get into my shops!,0,Modernly Vintage Boutique,1709041821000,1709236800000
br_g9vt3qv8uj,bo_ped7bge9jc,5,Loyal Customer  I have been buying my guys in the house & my dad Shinesty for the last four or five years and wouldn't buy another brand. The tags are rad and offer the special touch to get the customer to stay around and read through it. I am so stoked the\y are on Faire so I can offer it to my male customers. ,0,St. Michael's Mens Apparel,1707597394000,1707854400000
br_xsnq2kzsny,bo_b4kt4e6hcu,5,Great styles and quality! Couldn't get the other pic to upload for some reason! Was the neon Christmas dress. So awesome!,0,S. Murphy's Clothing Shoppe,1701371514000,1701720000000
br_hatq67hz65,bo_twx27eru6c,5,Always a crowd pleaser!  ,0,Rustic Boutique,1700931398000,1701201600000
