tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_vtq66hz4zh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720819469000,True,True,r_1d2l17a2,28644,Ecology Sports,http://www.ecologysports.com/,Clothing Boutique,False
bo_n8vewwtw9r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720725888000,True,True,r_tfhpxhe7uz,19771,Lucy Lane,http://lucylanelooks.shopify.com/,Clothing Boutique,False
bo_k7vz23ptau,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1720725588000,True,True,r_5ggpmjjf,19771,All About You Boutique,https://www.allabout-you.org/,Clothing Boutique,False
bo_stjnshqqgg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720146515000,False,False,r_amkvzx3d,133392,Eureka Clothing Company,http://facebook.com/eurekaclothingcompany,Clothing Boutique,True
bo_zf4q6hcwha,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720126715000,False,False,r_d2qhcgbgfw,68241,Big Dick's Salty Seaman Fun Shop,,Clothing Boutique,False
bo_rvennrz85y,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1720025896000,True,True,r_49qjvhxvba,17721,Captain's Landing,http://www.captainslanding.com/,,False
bo_6645avbh4z,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719898243000,True,True,r_hgp6ej6zj3,11848,Sincerely Whitney Aesthetic’s,https://mysite.vagaro.com/sincerelywhitneyaesthetics,Spa or Beauty Store,False
bo_qy5qrc4we6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719577366000,True,True,r_3ek55wc9zw,20432,Sunsations,https://www.sunsationsseaisle.com/,Clothing Boutique,False
bo_xb2x3dvuhk,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1719352732000,True,True,r_zzfheqp374,466,Adult Video Warehouse,https://adultsatplay.net/,,True
bo_nvq8fncmaf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1719168170000,False,False,r_465flmrwjl,24485,St. Michael's Mens Apparel,http://StMichaelsMensApparel.com,Clothing Boutique,True
bo_5u63vugcf8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1718484958000,True,True,r_zzfheqp374,45026,Adult Video Warehouse,https://adultsatplay.net/,,False
bo_uu5p4q2ya5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1718405758000,False,False,r_465flmrwjl,41725,St. Michael's Mens Apparel,http://StMichaelsMensApparel.com,Clothing Boutique,True
bo_q25znr3wsk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1718046092000,True,True,r_ago46e4xst,15148,Out West,http://Outwest-USA.com,Clothing Boutique,True
bo_su5hy97x4j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1718043692000,True,True,r_fmj2a8apuz,24155,The Refinery,http://www.Facebook.com/theredinery,Clothing Boutique,False
bo_2gq8mghyqf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717869689000,False,False,r_ediobvjt4z,16727,Flea Market Chic,http://www.fleamarketchic.net/contact-us.html,Home Decor Store,True
bo_wyggz9u7zu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717781189000,True,True,r_ejg0qe1t3v,53451,J. Longs,http://www.jlongs.com/,Clothing Boutique,True
bo_4hyg3r268n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717773985000,False,False,r_y6c83xbg6k,16727,coastal roots clothing co,https://shopcoastalrootsms.com/,Clothing Boutique,True
bo_nzzxqf4pam,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717701386000,True,True,r_2adklap7,13624,Rhinestone Divaz,http://www.Rhinestonedivaz.com,,False
bo_3uyxm69kux,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717441340000,True,True,r_m7jqk4g9c4,19771,Rushmore Candy Company,https://rushmorecandycompany.com/,Kids or Toy Store,False
bo_g8tt3kj5kq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717325540000,True,True,r_ediobvjt4z,15727,Flea Market Chic,http://www.fleamarketchic.net/contact-us.html,Home Decor Store,True
