product_token,name,category,sales_count,order_count,visit_count,date
p_3g4ffqupuj,TUSHY Ottoman,Bathroom Accessory Set,0,0,0,2023-01-01
p_a8z8vex5cr,TUSHY Classic 3.0,Bathroom Accessory Set,0,0,0,2023-01-01
p_bp43y6t2u4,TUSHY Toilet Brush,Toilet Bowl Cleaners,0,0,0,2023-01-01
p_gascg9s2n5,TUSHY Travel,Bathroom Accessory Set,0,0,0,2023-01-01
p_gecufm4tyv,TUSHY Spa 3.0,Bathroom Accessory Set,0,0,0,2023-01-01
p_tz7z5h3fkc,TUSHY Stand & Squares,Bathroom Accessory Set,0,0,0,2023-01-01
p_3g4ffqupuj,TUSHY Ottoman,Bathroom Accessory Set,0,0,0,2023-02-01
p_a8z8vex5cr,TUSHY Classic 3.0,Bathroom Accessory Set,0,0,0,2023-02-01
p_bp43y6t2u4,TUSHY Toilet Brush,Toilet Bowl Cleaners,0,0,0,2023-02-01
p_gascg9s2n5,TUSHY Travel,Bathroom Accessory Set,0,0,0,2023-02-01
p_gecufm4tyv,TUSHY Spa 3.0,Bathroom Accessory Set,0,0,0,2023-02-01
p_tz7z5h3fkc,TUSHY Stand & Squares,Bathroom Accessory Set,0,0,0,2023-02-01
p_3g4ffqupuj,TUSHY Ottoman,Bathroom Accessory Set,0,0,0,2023-03-01
p_a8z8vex5cr,TUSHY Classic 3.0,Bathroom Accessory Set,0,0,0,2023-03-01
p_bp43y6t2u4,TUSHY Toilet Brush,Toilet Bowl Cleaners,0,0,0,2023-03-01
p_gascg9s2n5,TUSHY Travel,Bathroom Accessory Set,0,0,0,2023-03-01
p_gecufm4tyv,TUSHY Spa 3.0,Bathroom Accessory Set,0,0,0,2023-03-01
p_tz7z5h3fkc,TUSHY Stand & Squares,Bathroom Accessory Set,0,0,0,2023-03-01
p_3g4ffqupuj,TUSHY Ottoman,Bathroom Accessory Set,0,0,0,2023-04-01
p_a8z8vex5cr,TUSHY Classic 3.0,Bathroom Accessory Set,0,0,0,2023-04-01
p_bp43y6t2u4,TUSHY Toilet Brush,Toilet Bowl Cleaners,0,0,0,2023-04-01
p_gascg9s2n5,TUSHY Travel,Bathroom Accessory Set,0,0,0,2023-04-01
p_gecufm4tyv,TUSHY Spa 3.0,Bathroom Accessory Set,0,0,0,2023-04-01
p_tz7z5h3fkc,TUSHY Stand & Squares,Bathroom Accessory Set,0,0,0,2023-04-01
p_3g4ffqupuj,TUSHY Ottoman,Bathroom Accessory Set,0,0,0,2023-05-01
p_a8z8vex5cr,TUSHY Classic 3.0,Bathroom Accessory Set,0,0,0,2023-05-01
p_bp43y6t2u4,TUSHY Toilet Brush,Toilet Bowl Cleaners,0,0,0,2023-05-01
p_gascg9s2n5,TUSHY Travel,Bathroom Accessory Set,0,0,0,2023-05-01
p_gecufm4tyv,TUSHY Spa 3.0,Bathroom Accessory Set,0,0,0,2023-05-01
p_tz7z5h3fkc,TUSHY Stand & Squares,Bathroom Accessory Set,0,0,0,2023-05-01
