tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_mjh6yr8d5c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1666493358000,True,True,r_wv4bhq698x,54800
bo_v832btazzw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666469058000,False,False,r_advw360g56,22645
bo_297esemtum,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1666462458000,False,False,r_880co51t8d,47500
bo_sd3vwnxxd3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666382711000,False,False,r_225gr4lgqy,49262
bo_fun5qatv8p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666373567000,False,False,r_auu2rbta6l,20350
bo_txymffhb2y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666367567000,False,False,r_6cezkktacs,125742
bo_2j2bj7fjtk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666299782000,False,False,r_ha5kv3tt54,12465
bo_hhje229u4y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1666213944000,False,False,r_8tyanx1o,72265
bo_gs8cmd5wxu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1666045315000,False,False,r_99wu8er3m6,55750
bo_8r35yb2nvg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1666012590000,False,False,r_1t9v6p7dgi,43100
bo_9uddnr8neq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665855353000,False,False,r_l1x2udch,41430
bo_2nkvhn82df,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1665838553000,False,False,r_8dqe4a0ym7,24250
bo_tkuq9swgfk,REPLACE_DAMAGED_OR_MISSING_ITEMS,CANCELED,CANCELED,MARKETPLACE,1665833675000,False,False,r_912i88fl,0
bo_e5vcv468gs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665781252000,False,False,r_66hp87e2or,29530
bo_cjt2xfavq3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665698181000,False,False,r_225gr4lgqy,28000
bo_xa3cuhmg8s,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1665673360000,False,False,r_es1krd7i5g,98400
bo_juapmwyhyq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1665599547000,False,False,r_a3d9fu6w8o,27800
bo_5rb5uwcppw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1665547954000,False,False,r_77ryap4a,75000
bo_aaydsnkggk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665444324000,False,False,r_9sb83pjfcd,76895
bo_w4vcqs45qx,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1665444324000,False,False,r_9sb83pjfcd,0
bo_3wcxun2s8s,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665417924000,False,False,r_4vhpl4dvdd,93122
bo_57ks58ruv2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1665414324000,False,False,r_7e24ckl5r9,58000
bo_wuz8xp2ytb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665400224000,False,False,r_912i88fl,166522
bo_6rfj6b4uqv,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1665400224000,False,False,r_912i88fl,5270
bo_bw3jxf6qh7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1665116710000,True,True,r_83vcthpu3b,33400
bo_x7gmzsdcj6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664996807000,False,False,r_sg9zntf5cz,18820
bo_aefj56xrwq,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1664996807000,False,False,r_sg9zntf5cz,0
bo_v56ev5a93g,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664996207000,False,False,r_e700jaf1p9,30700
bo_t3ghfwsxbn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664991407000,False,False,r_68xob2jy,107800
bo_vtnmksbq2v,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664979283000,False,False,r_6sfd7xnd,34500
bo_enpapxtcfa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664856150000,False,False,r_u2ffw4qvzp,29900
bo_zdvwzee6h9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664853150000,False,False,r_f3w0i4ys6o,168200
bo_xeyvcbz3ww,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664826750000,False,False,r_95fsct4kf8,229000
bo_guecwsthew,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1664824669000,False,False,r_dc288yzrsz,4600
bo_fms2fvk5za,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664823750000,False,False,r_5agpvj20,29400
bo_5d7dvrcr4z,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664816550000,False,False,r_ao33urlbfr,85400
bo_6uv5zk5549,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664805883000,True,True,r_deve81e1dy,18850
bo_z8kjwqvdw5,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1664799148000,False,False,r_5elnl8t8,5738
bo_qmbyx2463j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664775583000,True,True,r_1o5dhtl17u,20700
bo_2u555uux2n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664759083000,False,False,r_6dd7b961,91100
bo_rxch8hy57f,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664577413000,True,True,r_9sb83pjfcd,151350
bo_wkn652kcxr,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1664577413000,True,True,r_9sb83pjfcd,0
bo_599cbrkff2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664571413000,True,True,r_jbue6bqdqc,23975
bo_haf7hs9dpy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664557614000,False,False,r_e700jaf1p9,31150
bo_bbhd23g8fb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664547413000,False,False,r_eykjt8ep6s,261050
bo_af8qspmdcb,BACKORDER,CANCELED,CANCELED,ELEVATE,1664547413000,False,False,r_eykjt8ep6s,0
bo_j6jrnqne4t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664545013000,False,False,r_912i88fl,172345
bo_5tk9q3mf2h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664459255000,False,False,r_baoh4etc,20350
bo_xdatnke5vh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664385842000,False,False,r_4fvs03vp7x,107042
bo_cb8nhpzaym,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664384406000,False,False,r_b3o7h4ck9e,36840
bo_bg854xdezc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664311065000,False,False,r_cq71nragib,27500
bo_952uabcekp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664305840000,False,False,r_ba6hu8t5v7,133040
bo_zjmedhe35b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664302591000,True,True,r_79n33cdze8,38500
bo_2tmmy7pkuw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664283862000,False,False,r_jqwmx147,344150
bo_rjjj2j5pns,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664244562000,False,False,r_9kmovs6fe1,26045
bo_pnydd2fn42,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664209046000,False,False,r_zhyv7luwtz,22985
bo_fpumwbwd4c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664200946000,False,False,r_9kmovs6fe1,42822
bo_8e8fpf6f8w,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1664129846000,False,False,r_q2zc06ks9d,39700
bo_s3ukwq7uwx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664049146000,False,False,r_dc288yzrsz,20900
bo_uenumnqngc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1664048246000,False,False,r_7wcurw4j,41000
bo_h4zsdw6h4a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663986746000,False,False,r_2ntpm0rs,40570
bo_e7gq47kbdh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663983446000,False,False,r_2pkm6rqmgp,50200
bo_q5kzva7b4a,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663966646000,False,False,r_64aa98bqhg,110000
bo_jxhey4wk5a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663962423000,False,False,r_38ixhpypr4,172438
bo_w22hmrsfq2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663958523000,False,False,r_e1uzzxrntw,33000
bo_3xwj659hn4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663952823000,False,False,r_bfamvwn9xc,49270
bo_scd4a284s4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663951323000,False,False,r_azr1v3ih8u,38500
bo_uv9kjm9f25,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663941723000,False,False,r_ha5kv3tt54,25535
bo_fkkv9tdj2n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663893723000,False,False,r_5elnl8t8,16462
bo_3q996psqbe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663892223000,True,True,r_eykjt8ep6s,63500
bo_u9bfzwsg9r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663890423000,False,False,r_7ifanmic,21455
bo_pr34y3jqqc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663890123000,False,False,r_7ifanmic,29850
bo_r7cx482xrj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1663877269000,False,False,r_880co51t8d,24800
bo_b4ndvm4nvb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1663850294000,True,True,r_68bektxrbd,26125
bo_txyhpdbucx,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1663708996000,False,False,r_ymdxzsyjnd,11500
