Brand Token,Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
b_dc927665,Mode Living,5.0,5,250.0,250.0,150.0,False,True,True,False,False,True,False,3,1
b_dc3e5d20,April Cornell,5.0,66,200.0,200.0,200.0,True,True,False,False,False,True,False,14,11
b_490d935e,Bodrum,0.0,0,500.0,500.0,150.0,True,False,False,False,False,False,False,0,0
b_6silsri8xd,ATELIER SAUCIER,5.0,31,200.0,200.0,160.0,False,True,True,False,False,True,False,14,11
b_cad0ccd3,Couleur Nature,4.9,91,200.0,200.0,200.0,True,False,False,True,False,False,False,3,1
