tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_wp7qmnyvju,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1690829583000,False,False,r_bxj3lzkcdl,24137,J J Jackson's,http://jj-jacksons.com/tag/nevada-city/,
bo_p4zjmbawqt,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1690658466000,False,False,r_912i88fl,18332,jennifer baker,http://www.welcomehomemarkets.com,General or Mercantile Store
bo_ser8587ptr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690569188000,True,True,r_77md3srrpe,49561,Cellar Cat,http://cellarcat.com/,
bo_mx8pff62bk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690493379000,True,True,r_d0jhoj5nek,28055,Horse Country,http://www.horsecountrycarrot.com/,
bo_kusu9d6xqd,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1690480091000,False,False,r_e1uzzxrntw,4791,Fourchette,http://www.fourchette-fromage.com/,Home Decor Store
bo_6x6qmwdghy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690414050000,False,False,r_912i88fl,59968,jennifer baker,http://www.welcomehomemarkets.com,General or Mercantile Store
bo_x8xmufs95v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690227199000,False,False,r_6eerzzt2nx,50074,FairyCross Bottle Shop,http://FairyCrossbottleshop.com,
bo_jpamdgaejj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690227199000,False,False,r_6eerzzt2nx,5187,FairyCross Bottle Shop,http://FairyCrossbottleshop.com,
bo_9r78fspd2w,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1690166004000,False,False,r_w4652a06,255093,Mix It Up,http://www.mixituphome.com/,
bo_txqk4uhzz6,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1690166004000,False,False,r_w4652a06,6545,Mix It Up,http://www.mixituphome.com/,
bo_euptkg948h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690055304000,True,True,r_e8fe6fbe,13360,Babcock Gifts,http://www.babcockgifts.com/,Gift Store
bo_8gp68a285q,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690055304000,True,True,r_e8fe6fbe,30224,Babcock Gifts,http://www.babcockgifts.com/,Gift Store
bo_haau73p388,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690039104000,True,True,r_zhvhba8f,19807,Clever Girl,http://www.shopclevergirl.com/,Gift Store
bo_se9beq5bhe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689990204000,False,False,r_7shtfei6nw,44157,KooKoo’s Nest,,Home Decor Store
bo_bxk4z29btm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689963504000,True,True,r_px2u5hce23,14351,Savoir Chic,http://savoirchic.com/,
bo_avujqnvcd4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689913791000,True,True,r_5xfmh6n2,18890,victorias floral design,http://www.victoriasfloraldesign.com/,
bo_t75cmjcuam,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689908391000,True,True,r_dse7twv93r,43088,OAK + LINEN,,Home Decor Store
bo_vu775z9myk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689908391000,True,True,r_dse7twv93r,21234,OAK + LINEN,,Home Decor Store
bo_68dkpm2wnb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689906591000,False,False,r_6y13xe67un,36584,Live the French Way,,
bo_28j443cem9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689893091000,False,False,r_1t9v6p7dgi,21894,T is for Table,http://www.shoptisfortablecolorado.com,
bo_pgt32u2fuy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689890091000,True,True,r_bim6pfg3dz,14829,The Blue Finch,http://Thebluefinchadrian.com,Gift Store
bo_yx74yf99fr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689890091000,True,True,r_bim6pfg3dz,5001,The Blue Finch,http://Thebluefinchadrian.com,Gift Store
bo_6jr4qan9j5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689889191000,True,True,r_7uk817ugt0,32475,Stoney Run Artisans,https://www.stoneyrungallery.com/,Home Decor Store
bo_uwzrwkwqq2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689889191000,True,True,r_7uk817ugt0,20469,Stoney Run Artisans,https://www.stoneyrungallery.com/,Home Decor Store
bo_vn7amr6jx5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689886224000,False,False,r_qucvh95bwq,133358,"Kitchen Outfitters, LLC",http://www.kitchen-outfitters.com/,
bo_vb9vg4s5e9,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1689886224000,False,False,r_qucvh95bwq,9613,"Kitchen Outfitters, LLC",http://www.kitchen-outfitters.com/,
bo_fqregg3s85,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689882342000,False,False,r_e1uzzxrntw,261423,Fourchette,http://www.fourchette-fromage.com/,Home Decor Store
bo_x7fe5ycg6x,BACKORDER,CANCELED,CANCELED,ELEVATE,1689882342000,False,False,r_e1uzzxrntw,0,Fourchette,http://www.fourchette-fromage.com/,Home Decor Store
bo_eaav6yyn5b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689880242000,False,False,r_br5qyihl,106220,CAPERS Home,,
bo_93zgx6py47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689873042000,False,False,r_225gr4lgqy,51552,Chifferobe Home and Garden,http://www.chifferobehomeandgarden.com/,Home Decor Store
bo_xge6ezmcv4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689873042000,False,False,r_225gr4lgqy,7450,Chifferobe Home and Garden,http://www.chifferobehomeandgarden.com/,Home Decor Store
bo_bmvafa84hz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689863717000,True,True,r_r8y9tmed4p,36452,Maaribu,http://maaribu.com/,Home Decor Store
bo_cvep2efr3u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689823517000,True,True,r_7uywvbbe5d,34366,From afar (formerly Asheville Market Basket),https://from-afar.business.site/?m=true,Clothing Boutique
bo_ja53u6f6et,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689823217000,False,False,r_5vzu3dtujl,37712,Homebody Lifestyle,http://homebodynh.com,Home Decor Store
bo_338zuh5jrx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689813017000,False,False,r_4azvqlztpp,24335,Jacaranda Tree & Co.,https://www.jacarandatree.ca,
bo_hwtst96dap,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689813017000,False,False,r_4azvqlztpp,56344,Jacaranda Tree & Co.,https://www.jacarandatree.ca,
bo_bb9rsa2t7d,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689810617000,False,False,r_9210sadi,54466,Ann Marie's,http://annmarie.com,Gift Store
bo_vtmnh3ta7n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689809117000,True,True,r_f4jbf0p941,329182,Napa Valley Vintage Home,http://vintagehomenapavalley.com,Home Decor Store
bo_p8ajxgp6qy,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689809117000,True,True,r_f4jbf0p941,16378,Napa Valley Vintage Home,http://vintagehomenapavalley.com,Home Decor Store
bo_h5xdgufxey,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689807917000,False,False,r_8o363evxp8,16193,Tammy Berry,,General or Mercantile Store
bo_ypjx82ztbb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689807917000,False,False,r_8o363evxp8,47774,Tammy Berry,,General or Mercantile Store
bo_hzg94hx4gf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689807617000,False,False,r_d75xauh26s,45716,Helios Floral,http://www.heliosfloral.com/,Florist or Garden Store
bo_jth5hyfv6n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689807017000,True,True,r_7erj8x8g2q,66373,oakstreet shoppe,http://oakstreetshoppe.com/,Furniture Store
bo_dbs9pc7s9g,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1689805217000,False,False,r_77ryap4a,42432,Arrange,,
