tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_8qf99jb9m3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700493298000,False,False,r_ews6m54imp,51912,Nest,http://nestsf.com,
bo_fdkcuj3w75,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1700257798000,False,False,r_4jzdc95d7b,29737,Elizabeth Grace Home,http://www.elizabethgracehome.com/,Home Decor Store
bo_aubaefvram,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1699748575000,True,True,r_f391z06w,25638,Ei Home,http://www.eihomesf.com/,Clothing Boutique
bo_zrzbrysbfe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1699371450000,True,True,r_4jzdc95d7b,26548,Elizabeth Grace Home,http://www.elizabethgracehome.com/,Home Decor Store
bo_mygfqvutvv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1698877851000,True,True,r_6hixnh58,170354,Upstairs at Pierre Lafond,http://shopupstairs.com,Home Decor Store
bo_pxegzx23t6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1698781678000,False,False,r_63fdylef,111389,La Petite Maison,http://www.lapetitemaison.us/,General or Mercantile Store
bo_nbab4ekrvw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1698210144000,False,False,r_ews6m54imp,65182,Nest,http://nestsf.com,
bo_yq9bvzggte,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1697046277000,True,True,r_8spwpewb6z,20112,The Canary,,Gift Store
bo_fdtdtghb7m,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696073680000,False,False,r_63fdylef,51912,La Petite Maison,http://www.lapetitemaison.us/,General or Mercantile Store
bo_a6n3ks8un6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1695757073000,True,True,r_4o0mow3oig,94288,Camp Willow,http://www.campwillow.com/,
bo_7beeczu74q,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1695501356000,False,False,r_ews6m54imp,47072,Nest,http://nestsf.com,
bo_fg498dgyxm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1695320758000,True,True,r_7p8ea4txxr,20964,Currier Museum of Art,http://currier.org/,Gift Store
bo_bh88ryehja,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1694455725000,False,False,r_63fdylef,25945,La Petite Maison,http://www.lapetitemaison.us/,General or Mercantile Store
bo_8vauzvrkc6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1694265825000,False,False,r_63fdylef,95519,La Petite Maison,http://www.lapetitemaison.us/,General or Mercantile Store
