Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Huppy,5.0,258,100.0,100.0,100.0,False,True,True,False,False,False,False,7,4
Change Toothpaste,4.9,68,75.0,75.0,75.0,True,False,False,True,False,False,True,5,2
Desesh,5.0,89,0.0,0.0,0.0,True,True,False,False,False,False,False,5,2
Bite,5.0,63,100.0,100.0,100.0,True,True,False,False,False,True,False,7,4
Davids Natural Toothpaste,5.0,10,100.0,100.0,70.0,True,True,False,False,False,False,False,7,4
