tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_vx4ccugk47,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662193500000,False,False,r_mt3njycmpt,9526,Feel good Market,,
bo_6r43tmp7ra,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662173101000,False,False,r_mt3njycmpt,21088,Feel good Market,,
bo_6bz4dzrnew,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662166800000,False,False,r_ye6hpp3j9w,6241,My Zero Waste Store,http://myzerowastestore.com/,General or Mercantile Store
bo_rdtf3882rk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662160201000,False,False,r_smcx6lozqt,47744,prostainable,http://prostainable.com,General or Mercantile Store
bo_zpp52zszdq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662156000000,False,False,r_7ouak4dr6h,12765,Sage Refill Market,http://sagerefillmarket.com,
bo_vf4sbuqmnb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662155100000,False,False,r_7obmzazec3,5553,The Zeroish Company,https://www.zeroishco.com/,General or Mercantile Store
bo_mb9v75fa2b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662147001000,False,False,r_cnxo4h6zmf,10670,Local Refillery,http://www.localrefillery.com/,General or Mercantile Store
bo_7vffmpwmy3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662139501000,False,False,r_e1pcs4d8eo,33406,fulFILLed Lifestyle Co.,http://fulfilledutah.com,
bo_6kwb9dmfg5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662085500000,False,False,r_dqrrx3brwc,10247,Willabee,http://www.willabeemarket.com/,General or Mercantile Store
bo_w3x7mdfhfb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662084900000,False,False,r_6xzlpw10f4,73395,Protea Zero Waste Store,https://www.kuleanazerowastestore.com,
bo_qd3789frr4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662072300000,False,False,r_hkdrolox,39160,"Cooks' Emporium, Nook & Nest, or Z.W. Mercantile",http://cooksemporiumames.com,
bo_fsf6755hrt,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662070800000,False,False,r_3nhs90v0,51604,Mortise & Tenon,http://www.mortiseandtenonshop.com/,General or Mercantile Store
bo_4645kd25ts,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662069600000,True,True,r_rfy5eg589c,8787,Bamboo Hair Studio,http://bamboohairstudio.com/,Spa or Beauty Store
bo_q4mfdfzhqj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662062400000,False,False,r_6d3k4nurp9,2479,Of Land And Sea Co.,http://oflandandseaco.com/,General or Mercantile Store
bo_nt4q56b9r5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662061800000,True,True,r_myygkurq3v,11304,The Pharmacy Lab,http://thepharmacylab.ca/,
bo_qz2ntqtuja,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662061501000,False,False,r_5f591og1sd,118362,JOY FILL,http://www.joyfill.co/,
bo_ua27uqvx72,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662012000000,False,False,r_8yu5855512,25014,Sun Moon Rain Lifestyle,http://sunmoonrain.com,
bo_rd3qs72mar,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661978100000,False,False,r_eppb4cm219,23838,Resourcefill,http://shopresourcefill.com/,General or Mercantile Store
bo_zr92escmxg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661959801000,False,False,r_7xay4wfoux,27978,Yes!,http://www.yesplasticfree.com,
bo_ztxskq6dvq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661950201000,True,True,r_uxmpvu4y7m,11296,The Eco Lifestyle,http://theecolifestyledsm.com/,
bo_87cjwkyxv8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661880900000,False,False,r_b5a4edn3pb,14060,One Stop Eco Shop,http://www.onestopecoshop.co,Grocery or Liquor Store
bo_asbhbp7rye,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661880301000,False,False,r_b2hyav284r,21848,The Eco Flamingo,http://ecoandtheflamingo.com/,General or Mercantile Store
bo_7fqnw7ub2c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661840100000,False,False,r_cprnqq9xdx,55907,Local Lather,http://www.locallatherok.com/,
bo_kgvn7cpt2e,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661816100000,False,False,r_31rkt1g4w0,58565,Re-Up Refills,http://reuprefills.org,
bo_yxd7aa2jka,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661813700000,False,False,r_f5j66nhbpj,42632,The Keep Refillery,http://www.thekeeprefillery.com,
bo_5wffuf5ftr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661810101000,True,True,r_efuza2re4j,4638,FAiTH Wellness,http://faithwellnessgifts.com,Gift Store
bo_73gybhra9w,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661805600000,False,False,r_eimykxxi2c,5365,Kentucky Botanical Co.,http://kybotanical.com/,Gift Store
bo_fhmray4n8x,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661802301000,True,True,r_ba62ebq7uu,137484,re_ grocery Studio City,http://www.regrocery.co/,Grocery or Liquor Store
bo_dasaqavxrx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661797502000,False,False,r_5fq13tilv8,15023,The Nada Shop,http://www.thenadashop.com/,
bo_5aapfm8vp2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661797201000,False,False,r_5u4k9r8g78,11924,Frae Everyday Goods,http://www.shopfrae.com/,General or Mercantile Store
bo_35qt7hwwp6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661742300000,False,False,r_juv2klyg,25663,Life Unplastic,http://www.lifeunplastic.com,General or Mercantile Store
bo_j7dwy7vhqr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661712900000,False,False,r_wx3akzxkht,2863,Sheila Eva Haque,http://www.LifeEssentialsRefillery.com,General or Mercantile Store
bo_ma8fpn5dgd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661711401000,False,False,r_ggqf5ukt3m,26082,Witching Hour Provisions,https://www.witchinghourprovisions.com/,General or Mercantile Store
bo_mhd4enscjk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661636701000,True,True,r_5pp93gej,21746,Angela Scheu,http://www.greenhavenliving.org,
bo_fpq8zgxa5m,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661627400000,False,False,r_db377ncw7v,78226,Jillian Corn,,Grocery or Liquor Store
bo_6grut6ygq3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661621401000,False,False,r_70wo42v31m,5160,Totally Taylored,http://www.totallytaylored.com,General or Mercantile Store
bo_saujsdcrdx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661612700000,True,True,r_sxxzecpjfs,16435,Alexandria Jones,http://quartz-and-company.myshopify.com/,General or Mercantile Store
bo_vxbzt84gsr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661600700000,True,True,r_mj3ztcj958,8931,Hustlestop,http://hustlestop.com/,Spa or Beauty Store
bo_xkwsmx2fjv,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661555101000,False,False,r_gg8jchqyf3,6679,To The Brim Refill Store,http://www.tothebrimrefill.com/,
bo_qq3yzv5tqa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661552700000,True,True,r_y6nxzf62rc,43264,Waste Not Refillery,http://www.wastenotrefilleryfl.com,General or Mercantile Store
bo_z3dvvgmg7x,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661551801000,False,False,r_bhtvm4f344,18447,Reboot Eco,http://www.rebooteco.com,General or Mercantile Store
bo_exjcpxfqgr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661536801000,False,False,r_ebbabsp2jh,5617,IXV coffee,http://ixvcoffee.com/,General or Mercantile Store
bo_g98ew93kq5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661524500000,False,False,r_7goqn6511c,39201,Simply Zero,http://www.simplyzero.co,General or Mercantile Store
bo_ja6wyyes8f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661521201000,False,False,r_s23y7vd43v,11633,Simple Sundries,https://simplesundries.life/,General or Mercantile Store
bo_dtx2qz47m5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661486400000,False,False,r_38dwyz2f,43826,Urban Oreganics,http://www.urbanoreganics.com,
bo_putn6kunr9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661474400000,False,False,r_dmay5fnumf,10304,Succulent Natural Skincare,http://www.succulentnaturalskin.com,Spa or Beauty Store
bo_4zpkuja4pq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661464501000,True,False,r_b56mvo927k,2599,CONTRA COFFEE and TEA,http://www.contracoffeeandtea.com,Cafe or Restaurant
bo_ns9rp6nv52,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661461200000,False,False,r_8giia73j,11949,Conspire:Contemporary Craft,http://www.conspireindiana.com/,
bo_3y8crgzzrk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661454300000,False,False,r_acav89px49,22118,Mindful Merchant,https://www.mindfulmerchantnc.com/,General or Mercantile Store
bo_y2uneaksgz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661450700000,False,False,r_ecsjcr7hqh,14517,Bread and Butter,http://butterthebread.com/,Cafe or Restaurant
bo_c8cqedp9rd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661437801000,False,False,r_2g2a6vry7v,16476,East End Food Co-op,http://www.eastendfood.coop/,Grocery or Liquor Store
bo_4mxatspux4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661410801000,True,True,r_b56mvo927k,6020,CONTRA COFFEE and TEA,http://www.contracoffeeandtea.com,Cafe or Restaurant
bo_rqdu8eh4gb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661400900000,False,False,r_cc288vbfjc,5395,The Adventure Collective,http://theadventurecollectiveshop.co/,Clothing Boutique
bo_m2yd5je2pp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661395501000,True,True,r_baqel7dzy0,9365,Jocelyn Blank,http://www.jociandfriendsllc.com/,General or Mercantile Store
bo_6jk7rmpm5u,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661391900000,False,False,r_k33xd3zdek,9122,Paris Grocery,http://parisgrocerytx.com/,Grocery or Liquor Store
bo_urs4awk8g7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661390700000,False,False,r_8ytjy8gw,4905,Birtwell Farm Goods,http://www.birtwellfarmgoods.com,
bo_y37hwzavwh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661385901000,False,False,r_3muaxoh0vw,15299,Zero Waste Hale,http://www.zerowastehale.com,General or Mercantile Store
bo_buva58dn7v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661383801000,False,False,r_a3e3vktba8,17568,Haskill Creek,http://hc.farm/,General or Mercantile Store
bo_t9rxu68v78,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661383201000,False,False,r_69ekx4y8sz,10145,The Keep Store,http://thekeepstore.co/,General or Mercantile Store
bo_nrxbsnjgyx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661382601000,False,False,r_7jmay7gt5v,43323,Roots Zero Waste Market,https://rootszerowastemarket.com/,General or Mercantile Store
bo_u37fftuupa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661382300000,False,False,r_1kkona4ukv,13654,Esalen Institute - Bookstore,http://www.esalen.org,Gift Store
bo_55hvpbh6q7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661376301000,False,False,r_acav89px49,21913,Mindful Merchant,https://www.mindfulmerchantnc.com/,General or Mercantile Store
bo_eqyefcdqm2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661367901000,True,True,r_xfybvggu6c,6074,Birch Street LLC,http://www.mainlifebeauty.com,Spa or Beauty Store
bo_7p6m4f97dq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661361001000,False,False,r_ak9kswps,113659,Ware,http://wareavl.com,General or Mercantile Store
bo_hy2ekkjdsv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661355302000,False,False,r_9j8g1lbn,33810,Timshel Shop,,
