title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
LQF052 Boho Guitar Strap Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:1,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2987, 'currency': 'USD'}",1,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
7013 Monogrammable Three Compartments Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:2,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2487, 'currency': 'USD'}",2,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Natural Color Crossbody Belt Bag,Crossbody Bags:2024-06-28T17:23:18.943783:3,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",3,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Brown Cowhide Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:4,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",4,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Fashionable Soft PU Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:5,b_bya786doke,Love and Repeat,"{'amount_cents': 1590, 'currency': 'USD'}",5,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Moroccan Leather Crossbody Bag | Leather Purse,Crossbody Bags:2024-06-28T17:23:18.943783:6,b_x63mr72b4e,HandmadeBestSeller,"{'amount_cents': 4566, 'currency': 'USD', 'original_amount_cents': 3610, 'original_currency': 'GBP'}",6,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Petite Clear Soft PVC Zippered Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:7,b_1e67dn411w,Cap Zone,"{'amount_cents': 150, 'currency': 'USD'}",7,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Ellie Crossbody Bag *AS SEEN IN ANTHROPOLOGIE*,Crossbody Bags:2024-06-28T17:23:18.943783:8,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",8,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
CLEAR SLING CROSSBODY STADIUM BAG | 40P514,Crossbody Bags:2024-06-28T17:23:18.943783:9,b_9j5az29aau,Wall To Wall Accessories,"{'amount_cents': 2190, 'currency': 'USD'}",9,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Stadium Clear Rectangle Crossbody Bags ,Crossbody Bags:2024-06-28T17:23:18.943783:10,b_umczc7bspa,Queens Designs,"{'amount_cents': 3200, 'currency': 'USD'}",10,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
TG10204 Solid Color Tassel Camera Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:11,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3875, 'currency': 'USD'}",11,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
"Small Leather Satchel, Vintage Brown Crossbody Sling Bag",Crossbody Bags:2024-06-28T17:23:18.943783:12,b_rurnb8h2r7,DS Leather Studio,"{'amount_cents': 3950, 'currency': 'USD'}",12,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Willow Camera Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:13,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",13,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Wrangler Sling Bag/Crossbody/Chest Bag,Crossbody Bags:2024-06-28T17:23:18.943783:14,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4998, 'currency': 'USD'}",14,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Soft Vegan Leather Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:15,b_wgpnggfaw2,JILLIAN INK LLC,"{'amount_cents': 4500, 'currency': 'USD'}",15,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Tilly Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:16,b_djojumta,Pretty Simple,"{'amount_cents': 4500, 'currency': 'USD'}",16,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
A7807-Crossbody/Grab bag with pocket on the front and buckle,Crossbody Bags:2024-06-28T17:23:18.943783:17,b_bptbp63ght,Papaya Fashion Ltd,"{'amount_cents': 3795, 'currency': 'USD', 'original_amount_cents': 3000, 'original_currency': 'GBP'}",17,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Crossbody Sling Bag,Crossbody Bags:2024-06-28T17:23:18.943783:18,b_a48i0fg8,Selini New York,"{'amount_cents': 1190, 'currency': 'USD'}",18,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Woven Willow Camera Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:19,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",19,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Crossbody Hemp Bag (Code-589),Crossbody Bags:2024-06-28T17:23:18.943783:20,b_a990dearj1,Kathmandu Imports,"{'amount_cents': 800, 'currency': 'USD'}",20,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
LQF038Z Fashion Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:21,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3237, 'currency': 'USD'}",21,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
ANNA Opal Shape Hard Case Crossbody Bag with Top Handle,Crossbody Bags:2024-06-28T17:23:18.943783:22,b_dmin8matyq,KAYLA+AVA,"{'amount_cents': 3000, 'currency': 'USD'}",22,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Pleated Solid Color Bags Crossbody Bags Handbags,Crossbody Bags:2024-06-28T17:23:18.943783:23,b_k4ymnqwwyk,Elanora,"{'amount_cents': 2999, 'currency': 'USD'}",23,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Kids Unicorn Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:24,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",24,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Holly Foldover Satchel Crossbody Belt Bag,Crossbody Bags:2024-06-28T17:23:18.943783:25,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4800, 'currency': 'USD'}",25,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
BGS6844 Helena Straw Crossbody Bag With Leather Paneling,Crossbody Bags:2024-06-28T17:23:18.943783:26,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 4737, 'currency': 'USD'}",26,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
....SI-26466 Corduroy Vintage crossbody Sling Bag,Crossbody Bags:2024-06-28T17:23:18.943783:27,b_849n5pbfjm,42POPS,"{'amount_cents': 2175, 'currency': 'USD'}",27,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Wrangler Aztec Print Crossbody Sling Chest Bag - Pink,Crossbody Bags:2024-06-28T17:23:18.943783:28,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4100, 'currency': 'USD'}",28,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Waist Bag And Crossbody Bag For Women,Crossbody Bags:2024-06-28T17:23:18.943783:29,b_jkhzdth9kx,Wholesalesir,"{'amount_cents': 3190, 'currency': 'USD'}",29,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Solid Color Outlined Clear Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:30,b_gy33y47y5m,Fashion City,"{'amount_cents': 4170, 'currency': 'USD'}",30,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Kids Unicorn Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:31,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",31,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Quilted Durable Clear PVC Crossbody Messenger Bag,Crossbody Bags:2024-06-28T17:23:18.943783:32,b_1e67dn411w,Cap Zone,"{'amount_cents': 1700, 'currency': 'USD'}",32,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Whitley Waist Crossbody Bag (Reg $20),Crossbody Bags:2024-06-28T17:23:18.943783:33,b_djojumta,Pretty Simple,"{'amount_cents': 3000, 'currency': 'USD'}",33,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Lilac Crossbody Bag - Unisex,Crossbody Bags:2024-06-28T17:23:18.943783:34,b_b2pjelg0sv,Sixtease Bags USA,"{'amount_cents': 3300, 'currency': 'USD'}",34,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
P21044 Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:35,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 3450, 'currency': 'USD'}",35,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Block Print Sling Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:36,b_4f1f7699,Anchal,"{'amount_cents': 6200, 'currency': 'USD'}",36,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Gold and Silver Accented Cork Women's Cut-out Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:37,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 2500, 'currency': 'USD'}",37,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
CUTE CAT PATTERN KNITTED PHONE CROSSBODY BAG 315-4 (12PC),Crossbody Bags:2024-06-28T17:23:18.943783:38,b_79gkn2u3uk,TAPA fashion,"{'amount_cents': 500, 'currency': 'USD'}",38,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Aztec Strap PVC Clear Crossbody Bag MOQ 3pcs ZK1667,Crossbody Bags:2024-06-28T17:23:18.943783:39,b_9qqlp5kqt7,UNISHE,"{'amount_cents': 1798, 'currency': 'USD'}",39,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Stadium Clear Oval Crossbody Bags,Crossbody Bags:2024-06-28T17:23:18.943783:40,b_umczc7bspa,Queens Designs,"{'amount_cents': 3000, 'currency': 'USD'}",40,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Cork with Patterned zipper crossbody bag BAG-2076-Crossbody,Crossbody Bags:2024-06-28T17:23:18.943783:41,b_3q5jm2vj8j,Meninas Bonitas Cork,"{'amount_cents': 1500, 'currency': 'USD'}",41,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Rebeca Crossbody Sling Bag - Cloud,Crossbody Bags:2024-06-28T17:23:18.943783:42,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",42,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Envelope Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:43,b_4fn0wz6o3k,Nicci,"{'amount_cents': 4000, 'currency': 'USD'}",43,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Clear Rectangle Stadium Concert Crossbody Bag,Crossbody Bags:2024-06-28T17:23:18.943783:44,b_926lzrw9gt,Hana,"{'amount_cents': 2400, 'currency': 'USD'}",44,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
Contrast Color Bags Crossbody Bags Handbags,Crossbody Bags:2024-06-28T17:23:18.943783:45,b_dxhtkv5y9m,Easel,"{'amount_cents': 3959, 'currency': 'USD'}",45,2024-06-28,2024-06-28T17:23:18.943783,Crossbody Bags
