title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Ellie Crossbody Bag *AS SEEN IN ANTHROPOLOGIE*,Crossbody Bags:2024-06-26T13:08:41.313771:1,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",1,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
LQF052 Boho Guitar Strap Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:2,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2987, 'currency': 'USD'}",2,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
"Small Leather Satchel, Vintage Brown Crossbody Sling Bag",Crossbody Bags:2024-06-26T13:08:41.313771:3,b_rurnb8h2r7,DS Leather Studio,"{'amount_cents': 3950, 'currency': 'USD'}",3,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Tilly Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:4,b_djojumta,Pretty Simple,"{'amount_cents': 4500, 'currency': 'USD'}",4,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Brown Cowhide Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:5,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",5,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
7013 Monogrammable Three Compartments Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:6,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2487, 'currency': 'USD'}",6,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Willow Camera Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:7,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",7,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Natural Color Crossbody Belt Bag,Crossbody Bags:2024-06-26T13:08:41.313771:8,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",8,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Soft Vegan Leather Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:9,b_wgpnggfaw2,JILLIAN INK LLC,"{'amount_cents': 4500, 'currency': 'USD'}",9,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Woven Willow Camera Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:10,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",10,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Block Print Sling Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:11,b_4f1f7699,Anchal,"{'amount_cents': 6200, 'currency': 'USD'}",11,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Holly Foldover Satchel Crossbody Belt Bag,Crossbody Bags:2024-06-26T13:08:41.313771:12,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4800, 'currency': 'USD'}",12,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Wrangler Sling Bag/Crossbody/Chest Bag,Crossbody Bags:2024-06-26T13:08:41.313771:13,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4998, 'currency': 'USD'}",13,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
LQF038Z Fashion Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:14,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3237, 'currency': 'USD'}",14,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Fashionable Soft PU Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:15,b_bya786doke,Love and Repeat,"{'amount_cents': 1590, 'currency': 'USD'}",15,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Quilted Durable Clear PVC Crossbody Messenger Bag,Crossbody Bags:2024-06-26T13:08:41.313771:16,b_1e67dn411w,Cap Zone,"{'amount_cents': 1700, 'currency': 'USD'}",16,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
P22174 Small Tote Crossbody Bag w/Cosmetic Pouch,Crossbody Bags:2024-06-26T13:08:41.313771:17,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 4950, 'currency': 'USD'}",17,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
Pink Cowhide Crossbody Bag,Crossbody Bags:2024-06-26T13:08:41.313771:18,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",18,2024-06-26,2024-06-26T13:08:41.313771,Crossbody Bags
