title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Ellie Crossbody Bag *AS SEEN IN ANTHROPOLOGIE*,Crossbody Bags:2024-06-24T02:18:24.142847:1,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",1,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
LQF052 Boho Guitar Strap Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:2,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 2987, 'currency': 'USD'}",2,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
"Small Leather Satchel, Vintage Brown Crossbody Sling Bag",Crossbody Bags:2024-06-24T02:18:24.142847:3,b_rurnb8h2r7,DS Leather Studio,"{'amount_cents': 3950, 'currency': 'USD'}",3,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Tilly Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:4,b_djojumta,Pretty Simple,"{'amount_cents': 4500, 'currency': 'USD'}",4,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Willow Camera Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:5,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",5,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Natural Color Crossbody Belt Bag,Crossbody Bags:2024-06-24T02:18:24.142847:6,b_bya786doke,Love and Repeat,"{'amount_cents': 700, 'currency': 'USD'}",6,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Brown Cowhide Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:7,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",7,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Leopard Print Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:8,b_bya786doke,Love and Repeat,"{'amount_cents': 1190, 'currency': 'USD'}",8,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Woven Willow Camera Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:9,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",9,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Rebeca Crossbody Sling Bag - Caramel,Crossbody Bags:2024-06-24T02:18:24.142847:10,b_vqrfns5bqk,Jory,"{'amount_cents': 3600, 'currency': 'USD'}",10,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Holly Foldover Satchel Crossbody Belt Bag,Crossbody Bags:2024-06-24T02:18:24.142847:11,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4800, 'currency': 'USD'}",11,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Soft Vegan Leather Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:12,b_wgpnggfaw2,JILLIAN INK LLC,"{'amount_cents': 4500, 'currency': 'USD'}",12,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Block Print Sling Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:13,b_4f1f7699,Anchal,"{'amount_cents': 6200, 'currency': 'USD'}",13,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Vintage Red Typewriter Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:14,b_4r3j4e8q,COMECO INC,"{'amount_cents': 3000, 'currency': 'USD'}",14,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
LQF038Z Fashion Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:15,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3237, 'currency': 'USD'}",15,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Wrangler Sling Bag/Crossbody/Chest Bag,Crossbody Bags:2024-06-24T02:18:24.142847:16,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4998, 'currency': 'USD'}",16,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Navajo Baja Tribal Triple Zip Clutch Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:17,b_1e67dn411w,Cap Zone,"{'amount_cents': 398, 'currency': 'USD'}",17,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Waterproof Zipped Crossbody Chest Bag 20*5*14cm,Crossbody Bags:2024-06-24T02:18:24.142847:18,b_t9mynp4xpd,Lovesoft,"{'amount_cents': 1664, 'currency': 'USD'}",18,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Wrangler Aztec Print Crossbody Sling Chest Bag - Pink,Crossbody Bags:2024-06-24T02:18:24.142847:19,b_adwkg7449y,South End Clothing and Apparel L.L.C,"{'amount_cents': 4100, 'currency': 'USD'}",19,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Lilac Crossbody Bag - Unisex,Crossbody Bags:2024-06-24T02:18:24.142847:20,b_b2pjelg0sv,Sixtease Bags USA,"{'amount_cents': 3300, 'currency': 'USD'}",20,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Quilted Durable Clear PVC Crossbody Messenger Bag,Crossbody Bags:2024-06-24T02:18:24.142847:21,b_1e67dn411w,Cap Zone,"{'amount_cents': 1700, 'currency': 'USD'}",21,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Sutton Crossbody Sling Bag,Crossbody Bags:2024-06-24T02:18:24.142847:22,b_djojumta,Pretty Simple,"{'amount_cents': 6000, 'currency': 'USD'}",22,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Solid Color Outlined Clear Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:23,b_gy33y47y5m,Fashion City,"{'amount_cents': 4170, 'currency': 'USD'}",23,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Crossbody Sling Bag,Crossbody Bags:2024-06-24T02:18:24.142847:24,b_a48i0fg8,Selini New York,"{'amount_cents': 1190, 'currency': 'USD'}",24,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
.SI-26305 QUILTED MULTI-POCKET CROSSBODY SLING BAG,Crossbody Bags:2024-06-24T02:18:24.142847:25,b_849n5pbfjm,42POPS,"{'amount_cents': 1875, 'currency': 'USD'}",25,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
P24008A Small Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:26,b_a9e29d0b,Pretty Persuasions,"{'amount_cents': 3625, 'currency': 'USD'}",26,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
Pink Cowhide Crossbody Bag,Crossbody Bags:2024-06-24T02:18:24.142847:27,b_uv76zkk977,The Front Porch Label,"{'amount_cents': 2499, 'currency': 'USD'}",27,2024-06-24,2024-06-24T02:18:24.142847,Crossbody Bags
