title,sort_key,brand_token,brand_name,min_option_retail_price,order,execution_date,execution_timestamp,search_query
Callie Handcrafted Leather Sling/Crossbody Bags,Crossbody Bags:2024-07-02T12:06:20.111567:1,b_arceup81f2,Latico Leathers,"{'amount_cents': 23000, 'currency': 'USD'}",1,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Sunny Handcrafted Leather Crossbody Bags,Crossbody Bags:2024-07-02T12:06:20.111567:2,b_arceup81f2,Latico Leathers,"{'amount_cents': 16000, 'currency': 'USD'}",2,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Freya Handcrafted Leather Crossbody Bags,Crossbody Bags:2024-07-02T12:06:20.111567:3,b_arceup81f2,Latico Leathers,"{'amount_cents': 16000, 'currency': 'USD'}",3,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Athena Handcrafted Leather Crossbody Bags,Crossbody Bags:2024-07-02T12:06:20.111567:4,b_arceup81f2,Latico Leathers,"{'amount_cents': 15000, 'currency': 'USD'}",4,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Solid Color Crossbody Fanny Pack Belt Bag,Crossbody Bags:2024-07-02T12:06:20.111567:5,b_bya786doke,Love and Repeat,"{'amount_cents': 990, 'currency': 'USD'}",5,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Cross Body Bag Waist Synthetic Leather Women's Waist Bag,Crossbody Bags:2024-07-02T12:06:20.111567:6,b_jkhzdth9kx,Wholesalesir,"{'amount_cents': 1980, 'currency': 'USD'}",6,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Cross Body Sling Fanny Pack Belt Bag | 90FP101,Crossbody Bags:2024-07-02T12:06:20.111567:7,b_9j5az29aau,Wall To Wall Accessories,"{'amount_cents': 1390, 'currency': 'USD'}",7,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Pyramid Check Pu Everyday Belt Bag，Crossbody BAG_CWAB0911,Crossbody Bags:2024-07-02T12:06:20.111567:8,b_3eopd3scey,ACCITY,"{'amount_cents': 2430, 'currency': 'USD'}",8,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Bridget Sling Crossbody Fanny Mini Belt Bag,Crossbody Bags:2024-07-02T12:06:20.111567:9,b_ehwbo8z12s,modern+chic,"{'amount_cents': 4500, 'currency': 'USD'}",9,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
W022S Crazy Horse Genuine Leather Crossbody,Crossbody Bags:2024-07-02T12:06:20.111567:10,b_40j19ly1ct,Roma Leathers,"{'amount_cents': 2990, 'currency': 'USD'}",10,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
LQ286-Z Nina Sling Bag with Guitar Strap,Crossbody Bags:2024-07-02T12:06:20.111567:11,b_f2s9m5j5tr,MiMi Wholesale,"{'amount_cents': 3487, 'currency': 'USD'}",11,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Best Seller! Sling Cross Body Bag | Hailey Stone,Crossbody Bags:2024-07-02T12:06:20.111567:12,b_107a5x2c,Seriously Shea,"{'amount_cents': 3600, 'currency': 'USD'}",12,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
Pippa Handcrafted Leather Crossbody Bags,Crossbody Bags:2024-07-02T12:06:20.111567:13,b_arceup81f2,Latico Leathers,"{'amount_cents': 17500, 'currency': 'USD'}",13,2024-07-02,2024-07-02T12:06:20.111567,Crossbody Bags
