Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Rodeo Clothing,4.9,71,50.0,50.0,50.0,True,False,False,False,False,False,False,3,1
Silver Jeans US,5.0,1,250.0,250.0,150.0,True,False,False,False,False,False,False,13,4
Robink,4.6,42,50.0,50.0,25.0,False,False,False,False,False,False,False,3,1
Victorious,4.9,55,100.0,100.0,0.0,True,False,False,False,False,False,False,4,2
