Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Properly Improper,5.0,79,100.0,100.0,100.0,False,True,False,False,False,False,False,4,1
Kindness is Magic,5.0,22,150.0,150.0,100.0,True,False,False,True,False,True,True,14,7
Tiny Gift Society,5.0,578,100.0,100.0,40.0,False,True,True,False,False,True,False,7,4
Handmade By Uruba,5.0,27,100.0,100.0,150.0,True,True,True,False,False,True,False,10,4
Born to Rally,4.7,11,150.0,150.0,125.0,False,False,False,False,False,True,False,4,1
