tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_7pu7yhdns7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1694556183000,True,True,r_6uz8pzs3bz,23576,Only Pickleball,http://onlypickleball.com/,
bo_yhjkvxukbt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1694536957000,True,True,r_9h61vofowe,20037,Finishing Touches Home Decor,http://www.finishingtouchesstore.com/,Home Decor Store
bo_vgaxfgm757,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1694467286000,True,True,r_lsc99n1xmr,18120,Liza Byrd Boutique,http://lizabyrd.com/,Clothing Boutique
bo_env5eq76zm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1694449725000,True,True,r_93rl13n57y,32512,Wish On A Star,http://www.wishonastar.ca/,Gift Store
bo_x52qk4aaap,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1693831666000,True,True,r_vs6twgtkbu,16282,Birch and Oak Boutique,http://birchandoakjtown.com/,Clothing Boutique
bo_w76e33r3c4,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1693676597000,False,False,r_um34r8eyj3,1483,Obsessive Sports,http://Obsessivesport.com,Clothing Boutique
bo_7v5sazy8zw,NEW_ORDER,SHIPPED,FULFILLED,MARKETPLACE,1693448065000,True,True,r_8jfy9t7w,16054,The denim bar,http://thedenimbarlosalamitos.com,Clothing Boutique
bo_qpqwshhjkr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1693362667000,True,True,r_e3g72js2qr,16818,Levena Action Sports,http://www.shoplevena.com/,Clothing Boutique
bo_hd5wbua338,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1693234568000,False,False,r_2f42fadv4y,34092,stephania denton,,Gift Store
bo_4fcf9sc9nw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692938690000,True,True,r_ac5sg4tt,138027,Repurpose Boutique,http://Shoprevelboutique.com,Clothing Boutique
bo_caxkcnj2x5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692821085000,False,False,r_2aazjhfbcq,14690,Cranky Pickle,,
bo_qbtrm43r3p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1692804025000,True,True,r_zz3996usf7,30795,Wolverine Pickleball,http://www.wolverinepickleball.com/,
bo_8dy3q9qdfx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692719326000,False,False,r_um34r8eyj3,13818,Obsessive Sports,http://Obsessivesport.com,Clothing Boutique
bo_zjgnvs5sdc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692466032000,True,True,r_a3xs4faoxz,29911,We Olive Shreveport,https://weolive.com/shreveport,
bo_zf3c3vwrdh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692464232000,True,True,r_bazw3k8nab,17275,Gift Box,http://Www.FacebookTheGiftBoxNC.com,Gift Store
bo_vye9urrbss,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692131098000,False,False,r_2f42fadv4y,17381,stephania denton,,Gift Store
bo_5ccdakh5q3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1692053535000,True,True,r_2aazjhfbcq,17808,Cranky Pickle,,
