token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_2rq6mgw28t,o_emkwsxhk2b,p_ujs2rxbwwy,bo_r2cutmndu4,Charcoal Heather Gray Active Long Sleeve Crew Neck,S,3999,1999,1999,1,1999,1999,0,#R2CUTMNDU4,
oi_dc35spv46s,o_emkwsxhk2b,p_ujs2rxbwwy,bo_r2cutmndu4,Charcoal Heather Gray Active Long Sleeve Crew Neck,XL,3999,1999,1999,1,1999,1999,0,#R2CUTMNDU4,
oi_f4e4nuubp7,o_emkwsxhk2b,p_ujs2rxbwwy,bo_r2cutmndu4,Charcoal Heather Gray Active Long Sleeve Crew Neck,2XL,3999,1999,1999,1,1999,1999,0,#R2CUTMNDU4,
oi_kmhz6gypzj,o_emkwsxhk2b,p_ujs2rxbwwy,bo_r2cutmndu4,Charcoal Heather Gray Active Long Sleeve Crew Neck,M,3999,1999,1999,2,3998,3998,0,#R2CUTMNDU4,
oi_t6exfuybxs,o_emkwsxhk2b,p_ujs2rxbwwy,bo_r2cutmndu4,Charcoal Heather Gray Active Long Sleeve Crew Neck,L,3999,1999,1999,2,3998,3998,0,#R2CUTMNDU4,
oi_hhvj8t7w2w,o_emkwsxhk2b,p_s7yfamyjwt,bo_r2cutmndu4,Black V-Neck T-Shirt,S,1692,677,677,1,677,677,0,#R2CUTMNDU4,
oi_57wrutq7xx,o_emkwsxhk2b,p_s7yfamyjwt,bo_r2cutmndu4,Black V-Neck T-Shirt,M,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_bznvvra2x3,o_emkwsxhk2b,p_s7yfamyjwt,bo_r2cutmndu4,Black V-Neck T-Shirt,L,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_29gk3y7r54,o_emkwsxhk2b,p_s7yfamyjwt,bo_r2cutmndu4,Black V-Neck T-Shirt,2XL,1692,677,677,1,677,677,0,#R2CUTMNDU4,
oi_7suxexy3w5,o_emkwsxhk2b,p_aexgxsghfh,bo_r2cutmndu4,Military Green Crew Neck T-Shirt,M,1705,682,682,2,1364,1364,0,#R2CUTMNDU4,
oi_z8t4xrkvvq,o_emkwsxhk2b,p_aexgxsghfh,bo_r2cutmndu4,Military Green Crew Neck T-Shirt,XL,1705,682,682,1,682,682,0,#R2CUTMNDU4,
oi_n8dyt9nhjh,o_emkwsxhk2b,p_2ht5q2fn8k,bo_r2cutmndu4,Heather Navy Active Polo,S,3830,1532,1532,1,1532,1532,0,#R2CUTMNDU4,
oi_z5bkckp8pv,o_emkwsxhk2b,p_2ht5q2fn8k,bo_r2cutmndu4,Heather Navy Active Polo,L,3830,1532,1532,2,3064,3064,0,#R2CUTMNDU4,
oi_6feea8bvmb,o_emkwsxhk2b,p_2ht5q2fn8k,bo_r2cutmndu4,Heather Navy Active Polo,2XL,3830,1532,1532,1,1532,1532,0,#R2CUTMNDU4,
oi_gsu8w3n9tv,o_emkwsxhk2b,p_rcg6tt8ugv,bo_r2cutmndu4,Heather Navy Polo,S,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_pzce78ay27,o_emkwsxhk2b,p_rcg6tt8ugv,bo_r2cutmndu4,Heather Navy Polo,L,2245,898,898,2,1796,1796,0,#R2CUTMNDU4,
oi_pkv8rcqg3e,o_emkwsxhk2b,p_rcg6tt8ugv,bo_r2cutmndu4,Heather Navy Polo,XL,2245,898,898,2,1796,1796,0,#R2CUTMNDU4,
oi_8bdfbpahqc,o_emkwsxhk2b,p_rcg6tt8ugv,bo_r2cutmndu4,Heather Navy Polo,2XL,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_8s8mgd7jw4,o_emkwsxhk2b,p_rcg6tt8ugv,bo_r2cutmndu4,Heather Navy Polo,M,2245,898,898,2,1796,1796,0,#R2CUTMNDU4,
oi_hurnccted4,o_emkwsxhk2b,p_sgut9a5tns,bo_r2cutmndu4,Light Heather Gray Polo,S,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_b25jbnpj7x,o_emkwsxhk2b,p_sgut9a5tns,bo_r2cutmndu4,Light Heather Gray Polo,M,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_5p9zuahvkh,o_emkwsxhk2b,p_sgut9a5tns,bo_r2cutmndu4,Light Heather Gray Polo,L,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_zw5qh7sapk,o_emkwsxhk2b,p_sgut9a5tns,bo_r2cutmndu4,Light Heather Gray Polo,XL,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_rz7r6tt5ev,o_emkwsxhk2b,p_sgut9a5tns,bo_r2cutmndu4,Light Heather Gray Polo,2XL,2245,898,898,1,898,898,0,#R2CUTMNDU4,
oi_czz94ec5gv,o_emkwsxhk2b,p_kyxg9qv34q,bo_r2cutmndu4,Black Slippers,M,2345,938,938,2,1876,1876,0,#R2CUTMNDU4,
oi_zen5w2xgck,o_emkwsxhk2b,p_kyxg9qv34q,bo_r2cutmndu4,Black Slippers,L,2345,938,938,2,1876,1876,0,#R2CUTMNDU4,
oi_ugjaxqr4mf,o_emkwsxhk2b,p_hv5d9t5gb4,bo_r2cutmndu4,Black Boxer Trunks 3-Pack,S,5997,2998,2998,1,2998,2998,0,#R2CUTMNDU4,
oi_mkazu2g3k9,o_emkwsxhk2b,p_hv5d9t5gb4,bo_r2cutmndu4,Black Boxer Trunks 3-Pack,M,5997,2998,2998,1,2998,2998,0,#R2CUTMNDU4,
oi_adb7cgrejw,o_emkwsxhk2b,p_hv5d9t5gb4,bo_r2cutmndu4,Black Boxer Trunks 3-Pack,L,5997,2998,2998,1,2998,2998,0,#R2CUTMNDU4,
oi_2963ysnnuy,o_emkwsxhk2b,p_hv5d9t5gb4,bo_r2cutmndu4,Black Boxer Trunks 3-Pack,XL,5997,2998,2998,1,2998,2998,0,#R2CUTMNDU4,
oi_xc3nztvbpp,o_emkwsxhk2b,p_hv5d9t5gb4,bo_r2cutmndu4,Black Boxer Trunks 3-Pack,2XL,5997,2998,2998,1,2998,2998,0,#R2CUTMNDU4,
oi_87pn3su7s6,o_emkwsxhk2b,p_aexgxsghfh,bo_r2cutmndu4,Military Green Crew Neck T-Shirt,S,1705,682,682,1,682,682,0,#R2CUTMNDU4,
oi_6tgyqv9y2t,o_emkwsxhk2b,p_pzx9wvv4qb,bo_r2cutmndu4,Heather Mauve Short Sleeve Crew Neck T-Shirt,S,2999,1499,1499,1,1499,1499,0,#R2CUTMNDU4,
oi_ezt85azx6v,o_emkwsxhk2b,p_pzx9wvv4qb,bo_r2cutmndu4,Heather Mauve Short Sleeve Crew Neck T-Shirt,L,2999,1499,1499,1,1499,1499,0,#R2CUTMNDU4,
oi_8vfbeb46tf,o_emkwsxhk2b,p_pzx9wvv4qb,bo_r2cutmndu4,Heather Mauve Short Sleeve Crew Neck T-Shirt,XL,2999,1499,1499,1,1499,1499,0,#R2CUTMNDU4,
oi_wvh8nmch75,o_emkwsxhk2b,p_shhxbvvxxp,bo_r2cutmndu4,Heather Indigo Active Crew Neck T-Shirt,S,2542,1017,1017,1,1017,1017,0,#R2CUTMNDU4,
oi_5j9etjuhws,o_emkwsxhk2b,p_shhxbvvxxp,bo_r2cutmndu4,Heather Indigo Active Crew Neck T-Shirt,M,2542,1017,1017,1,1017,1017,0,#R2CUTMNDU4,
oi_thwydw9j5d,o_emkwsxhk2b,p_shhxbvvxxp,bo_r2cutmndu4,Heather Indigo Active Crew Neck T-Shirt,L,2542,1017,1017,1,1017,1017,0,#R2CUTMNDU4,
oi_32mkxnvx42,o_emkwsxhk2b,p_shhxbvvxxp,bo_r2cutmndu4,Heather Indigo Active Crew Neck T-Shirt,XL,2542,1017,1017,1,1017,1017,0,#R2CUTMNDU4,
oi_9szrwgavmx,o_emkwsxhk2b,p_yduenc8dn4,bo_r2cutmndu4,Medium Indigo Wash Long Sleeve Chambray Shirt,S,5999,2999,2999,1,2999,2999,0,#R2CUTMNDU4,
oi_afh6xrprt3,o_emkwsxhk2b,p_yduenc8dn4,bo_r2cutmndu4,Medium Indigo Wash Long Sleeve Chambray Shirt,L,5999,2999,2999,1,2999,2999,0,#R2CUTMNDU4,
oi_htab2hsyzt,o_emkwsxhk2b,p_yduenc8dn4,bo_r2cutmndu4,Medium Indigo Wash Long Sleeve Chambray Shirt,XL,5999,2999,2999,1,2999,2999,0,#R2CUTMNDU4,
oi_n3aj4hsd84,o_emkwsxhk2b,p_yduenc8dn4,bo_r2cutmndu4,Medium Indigo Wash Long Sleeve Chambray Shirt,M,5999,2999,2999,2,5998,5998,0,#R2CUTMNDU4,
oi_yfvm6b33gf,o_emkwsxhk2b,p_s49r5jxnqq,bo_r2cutmndu4,White V-Neck T-Shirt,2XL,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_zwj29zca3j,o_emkwsxhk2b,p_s49r5jxnqq,bo_r2cutmndu4,White V-Neck T-Shirt,XL,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_4zae2manra,o_emkwsxhk2b,p_s49r5jxnqq,bo_r2cutmndu4,White V-Neck T-Shirt,L,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_wzdb7ded4p,o_emkwsxhk2b,p_s49r5jxnqq,bo_r2cutmndu4,White V-Neck T-Shirt,M,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_sdfb82w4nt,o_emkwsxhk2b,p_s49r5jxnqq,bo_r2cutmndu4,White V-Neck T-Shirt,S,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_dmr7uwyxr6,o_emkwsxhk2b,p_s7yfamyjwt,bo_r2cutmndu4,Black V-Neck T-Shirt,XL,1692,677,677,2,1354,1354,0,#R2CUTMNDU4,
oi_jqq86v2pnn,o_emkwsxhk2b,p_aexgxsghfh,bo_r2cutmndu4,Military Green Crew Neck T-Shirt,L,1705,682,682,2,1364,1364,0,#R2CUTMNDU4,
