token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_m3su5wffh5,o_rr3tegd8zg,p_7pvp4dcq5n,bo_cbsqdndju5,Carbon Active Quick Dry Short with Liner,M,4499,2249,2249,2,3823,4498,15,#CBSQDNDJU5,
oi_fces9g6522,o_rr3tegd8zg,p_7pvp4dcq5n,bo_cbsqdndju5,Carbon Active Quick Dry Short with Liner,S,4499,2249,2249,1,1912,2249,15,#CBSQDNDJU5,
oi_xv2qeaheyb,o_rr3tegd8zg,p_7pvp4dcq5n,bo_cbsqdndju5,Carbon Active Quick Dry Short with Liner,XL,4499,2249,2249,1,1912,2249,15,#CBSQDNDJU5,
oi_p297392hkf,o_rr3tegd8zg,p_7pvp4dcq5n,bo_cbsqdndju5,Carbon Active Quick Dry Short with Liner,L,4499,2249,2249,2,3823,4498,15,#CBSQDNDJU5,
oi_atpxjrg8cg,o_rr3tegd8zg,p_v7655zp7an,bo_cbsqdndju5,"9"" Black Comfort Chino Short",36,4999,2499,2499,2,4248,4998,15,#CBSQDNDJU5,
oi_p582y8hpav,o_rr3tegd8zg,p_v7655zp7an,bo_cbsqdndju5,"9"" Black Comfort Chino Short",32,4999,2499,2499,1,2124,2499,15,#CBSQDNDJU5,
oi_f3bujxjmef,o_rr3tegd8zg,p_v7655zp7an,bo_cbsqdndju5,"9"" Black Comfort Chino Short",34,4999,2499,2499,2,4248,4998,15,#CBSQDNDJU5,
oi_4qvcvexq3c,o_rr3tegd8zg,p_v7655zp7an,bo_cbsqdndju5,"9"" Black Comfort Chino Short",33,4999,2499,2499,2,4248,4998,15,#CBSQDNDJU5,
oi_hdzqj59mp6,o_rr3tegd8zg,p_juczmrnmtc,bo_cbsqdndju5,"9"" Carbon Comfort Chino Short",36,4999,2499,2499,1,2124,2499,15,#CBSQDNDJU5,
oi_fbhwagkcd5,o_rr3tegd8zg,p_juczmrnmtc,bo_cbsqdndju5,"9"" Carbon Comfort Chino Short",32,4999,2499,2499,1,2124,2499,15,#CBSQDNDJU5,
oi_whwe4pgwp3,o_rr3tegd8zg,p_juczmrnmtc,bo_cbsqdndju5,"9"" Carbon Comfort Chino Short",38,4999,2499,2499,1,2124,2499,15,#CBSQDNDJU5,
oi_5tx37uwajn,o_rr3tegd8zg,p_juczmrnmtc,bo_cbsqdndju5,"9"" Carbon Comfort Chino Short",33,4999,2499,2499,2,4248,4998,15,#CBSQDNDJU5,
oi_cgbzveqasc,o_rr3tegd8zg,p_juczmrnmtc,bo_cbsqdndju5,"9"" Carbon Comfort Chino Short",34,4999,2499,2499,2,4248,4998,15,#CBSQDNDJU5,
oi_7nm2jkbmns,o_emkwsxhk2b,p_hc97kv4jxf,bo_n67jv5uahj,Deep Sea Blue Crew Neck T-Shirt,XL,2999,1499,1499,1,1499,1499,0,#N67JV5UAHJ,
oi_y2dgvsnd9z,o_emkwsxhk2b,p_hc97kv4jxf,bo_n67jv5uahj,Deep Sea Blue Crew Neck T-Shirt,S,2999,1499,1499,1,1499,1499,0,#N67JV5UAHJ,
oi_6cng2bnbwr,o_emkwsxhk2b,p_s49r5jxnqq,bo_n67jv5uahj,White V-Neck T-Shirt,S,1692,677,677,2,1354,1354,0,#N67JV5UAHJ,
oi_ctm3ajbmg5,o_emkwsxhk2b,p_s49r5jxnqq,bo_n67jv5uahj,White V-Neck T-Shirt,XL,1692,677,677,2,1354,1354,0,#N67JV5UAHJ,
oi_nbvmjm2ss9,o_emkwsxhk2b,p_kyxg9qv34q,bo_n67jv5uahj,Black Slippers,L,2345,938,938,1,938,938,0,#N67JV5UAHJ,
oi_pjfzxn35rt,o_emkwsxhk2b,p_2ht5q2fn8k,bo_n67jv5uahj,Heather Navy Active Polo,L,3830,1532,1532,1,1532,1532,0,#N67JV5UAHJ,
oi_crgfhxvx7m,o_emkwsxhk2b,p_2ht5q2fn8k,bo_n67jv5uahj,Heather Navy Active Polo,S,3830,1532,1532,1,1532,1532,0,#N67JV5UAHJ,
oi_egutkr9fxd,o_yp2ykkvt2s,p_4ssfur9upr,bo_2d2ha9agcn,Pale Blue Button Up Shirt,XL,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_zydntckf4z,o_yp2ykkvt2s,p_4ssfur9upr,bo_2d2ha9agcn,Pale Blue Button Up Shirt,L,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_cg54ewpevj,o_yp2ykkvt2s,p_4ssfur9upr,bo_2d2ha9agcn,Pale Blue Button Up Shirt,M,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_gx4sc5dbdd,o_yp2ykkvt2s,p_4ssfur9upr,bo_2d2ha9agcn,Pale Blue Button Up Shirt,2XL,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_7a37sj9jgd,o_yp2ykkvt2s,p_vp3anzz9s3,bo_2d2ha9agcn,White Button Up Shirt,L,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_ex6pa4dggg,o_yp2ykkvt2s,p_vp3anzz9s3,bo_2d2ha9agcn,White Button Up Shirt,XL,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_pf8q8q9gkv,o_yp2ykkvt2s,p_vp3anzz9s3,bo_2d2ha9agcn,White Button Up Shirt,M,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_ra4yvh3rzb,o_yp2ykkvt2s,p_vp3anzz9s3,bo_2d2ha9agcn,White Button Up Shirt,2XL,4999,2499,2499,1,2499,2499,0,#2D2HA9AGCN,
oi_we6p9gc2de,o_yp2ykkvt2s,p_msfd479sz8,bo_2d2ha9agcn,Navy Short Sleeve Button Up Shirt,S,5622,2249,2249,1,2249,2249,0,#2D2HA9AGCN,
oi_svvuxepjtg,o_yp2ykkvt2s,p_msfd479sz8,bo_2d2ha9agcn,Navy Short Sleeve Button Up Shirt,M,5622,2249,2249,1,2249,2249,0,#2D2HA9AGCN,
oi_uddx2yyeyg,o_yp2ykkvt2s,p_msfd479sz8,bo_2d2ha9agcn,Navy Short Sleeve Button Up Shirt,L,5622,2249,2249,1,2249,2249,0,#2D2HA9AGCN,
oi_5uyyfvbjck,o_yp2ykkvt2s,p_msfd479sz8,bo_2d2ha9agcn,Navy Short Sleeve Button Up Shirt,XL,5622,2249,2249,1,2249,2249,0,#2D2HA9AGCN,
oi_7fs7zkhtb5,o_yp2ykkvt2s,p_msfd479sz8,bo_2d2ha9agcn,Navy Short Sleeve Button Up Shirt,2XL,5622,2249,2249,1,2249,2249,0,#2D2HA9AGCN,
