token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_yvdfp99a3r,o_ymzszthb6g,p_ryght7etrs,bo_dxtqm4sasj,Short Sleeve T-Shirt | V-Neck | Bluestone,S,2999,1499,1499,1,1499,1499,0,#DXTQM4SASJ,
oi_xptspaev66,o_ymzszthb6g,p_v8pfb5wryd,bo_dxtqm4sasj,Hoodie | Waffle | Military Green,XL,4499,2249,2249,1,2249,2249,0,#DXTQM4SASJ,
oi_p7g9huqezy,o_ymzszthb6g,p_xfct3t2vkk,bo_dxtqm4sasj,Hoodie | Waffle | Mahogany,XL,4499,2249,2249,1,2249,2249,0,#DXTQM4SASJ,
oi_5rxxwgp23y,o_ymzszthb6g,p_xfct3t2vkk,bo_dxtqm4sasj,Hoodie | Waffle | Mahogany,L,4499,2249,2249,1,2249,2249,0,#DXTQM4SASJ,
oi_dm2cvncbva,o_ymzszthb6g,p_xafkdxwnvm,bo_dxtqm4sasj,Hoodie | Waffle | Black,XL,4499,2249,2249,1,2249,2249,0,#DXTQM4SASJ,
oi_sbmev2nazw,o_ymzszthb6g,p_xafkdxwnvm,bo_dxtqm4sasj,Hoodie | Waffle | Black,2XL,4499,2249,2249,1,2249,2249,0,#DXTQM4SASJ,
oi_82mn42738k,o_ymzszthb6g,p_9mtccasba9,bo_dxtqm4sasj,Hoodie | Waffle | Dark Oak,XL,4999,2499,2499,1,2499,2499,0,#DXTQM4SASJ,
oi_7tbwuhcpse,o_ua7p4hhfbz,p_vkp29t8hpk,bo_wu3jccwqng,Sleeveless Muscle Tee | Active | Black,XL,2999,1499,1499,6,8994,8994,0,#WU3JCCWQNG,
oi_esmtqt8rzc,o_ua7p4hhfbz,p_vkp29t8hpk,bo_wu3jccwqng,Sleeveless Muscle Tee | Active | Black,M,2999,1499,1499,7,10493,10493,0,#WU3JCCWQNG,
oi_wdqrk3rc88,o_ua7p4hhfbz,p_vkp29t8hpk,bo_wu3jccwqng,Sleeveless Muscle Tee | Active | Black,2XL,2999,1499,1499,2,2998,2998,0,#WU3JCCWQNG,
oi_hxrxj82cac,o_ua7p4hhfbz,p_vkp29t8hpk,bo_wu3jccwqng,Sleeveless Muscle Tee | Active | Black,L,2999,1499,1499,6,8994,8994,0,#WU3JCCWQNG,
oi_xzk3dbmjab,o_hn7nqy3wev,p_h75hjs7973,bo_k4asd8zmbg,Short Sleeve Shirt | Active | Polo | Heather Forest,XL,3499,1749,1749,1,1749,1749,0,#K4ASD8ZMBG,
oi_4gecncymng,o_r4juav4mhs,p_8pczdfc69m,bo_4vdcpzx4dm,Short Sleeve Shirt | Active Polo | Heather Cocoa ,XL,4773,2386,2386,2,4772,4772,0,#4VDCPZX4DM,
oi_bd8s3kxcwz,o_r4juav4mhs,p_8pczdfc69m,bo_4vdcpzx4dm,Short Sleeve Shirt | Active Polo | Heather Cocoa ,M,4773,2386,2386,2,4772,4772,0,#4VDCPZX4DM,
oi_g673fbvupq,o_r4juav4mhs,p_8pczdfc69m,bo_4vdcpzx4dm,Short Sleeve Shirt | Active Polo | Heather Cocoa ,L,4773,2386,2386,2,4772,4772,0,#4VDCPZX4DM,
oi_yvgd9em2wf,o_r4juav4mhs,p_8pczdfc69m,bo_4vdcpzx4dm,Short Sleeve Shirt | Active Polo | Heather Cocoa ,2XL,4773,2386,2386,2,4772,4772,0,#4VDCPZX4DM,
oi_4byykke33k,o_r4juav4mhs,p_8pczdfc69m,bo_4vdcpzx4dm,Short Sleeve Shirt | Active Polo | Heather Cocoa ,S,4773,2386,2386,1,2386,2386,0,#4VDCPZX4DM,
oi_hnsjr6uchu,o_r4juav4mhs,p_6wnwzma24v,bo_4vdcpzx4dm,Long Sleeve Button Up Shirt | Stretch Oxford | Black,XL,8184,4091,4091,2,8182,8182,0,#4VDCPZX4DM,
oi_5ntf953y3e,o_r4juav4mhs,p_6wnwzma24v,bo_4vdcpzx4dm,Long Sleeve Button Up Shirt | Stretch Oxford | Black,M,8184,4091,4091,2,8182,8182,0,#4VDCPZX4DM,
oi_man6pp3sny,o_r4juav4mhs,p_6wnwzma24v,bo_4vdcpzx4dm,Long Sleeve Button Up Shirt | Stretch Oxford | Black,S,8184,4091,4091,1,4091,4091,0,#4VDCPZX4DM,
oi_wg63rqg7mf,o_r4juav4mhs,p_6wnwzma24v,bo_4vdcpzx4dm,Long Sleeve Button Up Shirt | Stretch Oxford | Black,2XL,8184,4091,4091,2,8182,8182,0,#4VDCPZX4DM,
oi_p8y4p6bjfc,o_r4juav4mhs,p_6wnwzma24v,bo_4vdcpzx4dm,Long Sleeve Button Up Shirt | Stretch Oxford | Black,L,8184,4091,4091,2,8182,8182,0,#4VDCPZX4DM,
oi_n2vbwvvkpn,o_r4juav4mhs,p_n6hvkgussy,bo_4vdcpzx4dm,Hoodie | Waffle | Carbon,L,7669,3068,3068,1,3068,3068,0,#4VDCPZX4DM,
oi_p6xfrs5dsu,o_r4juav4mhs,p_n6hvkgussy,bo_4vdcpzx4dm,Hoodie | Waffle | Carbon,XL,7669,3068,3068,1,3068,3068,0,#4VDCPZX4DM,
