token,order_token,product_token,brand_order_token,product_name,product_option_name,suggested_retail_price,retailer_price,retailer_original_price,quantity,total_retailer_price,retailer_total,discount_percentage,localized_brand_order_number,product_variations
oi_p2g4dfsw95,o_ytcyhsva8w,p_jw2fyemxq7,bo_2jh89cshq4,"9"" Khaki Comfort Chino Short",36,4999,2499,2499,1,2499,2499,0,#2JH89CSHQ4,
oi_nfwqzkmps3,o_ytcyhsva8w,p_h4877neu4n,bo_2jh89cshq4,Sandstone Commuter Short,36,4999,2499,2499,1,2499,2499,0,#2JH89CSHQ4,
oi_zew8yxp26f,o_ytcyhsva8w,p_3pskc4cwbp,bo_2jh89cshq4,"9"" Khaki Classic Twill Short",36,5999,2999,2999,1,2999,2999,0,#2JH89CSHQ4,
oi_a66nr37qq9,o_ytcyhsva8w,p_sfn5q4bv26,bo_2jh89cshq4,Dark Heather Cadet Active Polo,2XL,3499,1749,1749,1,1749,1749,0,#2JH89CSHQ4,
oi_qy25atbx4c,o_ytcyhsva8w,p_tfc9aqbuz4,bo_2jh89cshq4,Military Green Short Sleeve Crew Neck T-Shirt,2XL,3747,1499,1499,1,1499,1499,0,#2JH89CSHQ4,
oi_f7g9gg8w7s,o_ytcyhsva8w,p_dnq23rfcgu,bo_2jh89cshq4,"Carbon 7"" 2-in-1 Training Short",2XL,4499,2249,2249,1,2249,2249,0,#2JH89CSHQ4,
oi_zw7vupk96s,o_ytcyhsva8w,p_dnq23rfcgu,bo_2jh89cshq4,"Carbon 7"" 2-in-1 Training Short",XL,4499,2249,2249,1,2249,2249,0,#2JH89CSHQ4,
oi_d8jtpsncwy,o_kds5g37mx6,p_zpj5m6rzbh,bo_cd48t7c5tb,Dark Oak Fleece French Terry Pullover Hoodie,L,5499,2749,2749,1,2749,2749,0,#CD48T7C5TB,
oi_5jqtpjw5st,o_kds5g37mx6,p_ttdapkruav,bo_cd48t7c5tb,Heather Gray Fleece French Terry Pullover Hoodie,M,5499,2749,2749,1,2749,2749,0,#CD48T7C5TB,
oi_manatmzdzy,o_kds5g37mx6,p_dvj7aj4rxq,bo_cd48t7c5tb,Heather Gray Fleece French Terry Pullover Crew Neck Sweatshirt,M,5622,2249,2249,1,2249,2249,0,#CD48T7C5TB,
oi_4hc5j4qyhx,o_kds5g37mx6,p_bz2jmxhgzb,bo_cd48t7c5tb,Heather Gray Fleece French Terry Joggers,M,6247,2499,2499,1,2499,2499,0,#CD48T7C5TB,
oi_ta2qy7zm84,o_kds5g37mx6,p_hun6quaf8f,bo_cd48t7c5tb,Gray Wash Slim Fit Comfort Jeans,32 / 30L,7999,3999,3999,1,3999,3999,0,#CD48T7C5TB,
oi_unczkhyugh,o_kds5g37mx6,p_x7cgdhmyp3,bo_cd48t7c5tb,Heather Navy Polo,M,3747,1499,1499,1,1499,1499,0,#CD48T7C5TB,
oi_cjmjpm9455,o_kds5g37mx6,p_x7cgdhmyp3,bo_cd48t7c5tb,Heather Navy Polo,L,3747,1499,1499,1,1499,1499,0,#CD48T7C5TB,
oi_4segwebrrj,o_kds5g37mx6,p_p42j2ebh8r,bo_cd48t7c5tb,White Short Sleeve Button Up Shirt,M,5622,2249,2249,1,2249,2249,0,#CD48T7C5TB,
oi_vza9wr6zxd,o_kds5g37mx6,p_gqs2hwpkjy,bo_cd48t7c5tb,Navy Commuter Long Sleeve Button Up Shirt,M,7497,2999,2999,1,2999,2999,0,#CD48T7C5TB,
oi_raw7p5w259,o_kds5g37mx6,p_vqc6jejd69,bo_cd48t7c5tb,Black Do-It-All Comfort Long Sleeve Button Up Shirt,L,4999,2499,2499,1,2499,2499,0,#CD48T7C5TB,
oi_v9qwz98fn8,o_kds5g37mx6,p_vqc6jejd69,bo_cd48t7c5tb,Black Do-It-All Comfort Long Sleeve Button Up Shirt,M,4999,2499,2499,1,2499,2499,0,#CD48T7C5TB,
oi_ggc7newsd3,o_kds5g37mx6,p_mkhh2ymk98,bo_cd48t7c5tb,Heather Navy Active Comfort Crew Sweatshirt,L,3999,1999,1999,1,1999,1999,0,#CD48T7C5TB,
oi_c9gekd6j22,o_kds5g37mx6,p_8q3s9r6qwu,bo_cd48t7c5tb,Black Active Comfort Full Zip Hoodie,L,4999,2499,2499,1,2499,2499,0,#CD48T7C5TB,
oi_pnykkqgpuj,o_kds5g37mx6,p_kdjpvxj7fs,bo_cd48t7c5tb,White Half Crew Sock 3-Pack,M,2999,1499,1499,2,2998,2998,0,#CD48T7C5TB,
oi_twpm99tdch,o_kds5g37mx6,p_h9thpv33ux,bo_cd48t7c5tb,Black Active Crew Socks 3-Pack,M,3499,1749,1749,1,1749,1749,0,#CD48T7C5TB,
oi_q886ctqbp4,o_kds5g37mx6,p_rd96dkwsx6,bo_cd48t7c5tb,Carbon Boxer Trunks 3-Pack,L,5997,2998,2998,1,2998,2998,0,#CD48T7C5TB,
