product_token,name,category,sales_count,order_count,visit_count,date
p_twpefb4vpq,White Long Sleeve Henley,T-Shirts,0,0,0,2023-01-01
p_fx25mpavbf,Black Hooded Long Sleeve T-Shirt,T-Shirts,0,0,0,2023-01-01
p_gawdf2gbfa,Black Long Sleeve Polo,Polos,0,0,0,2023-01-01
p_xafkdxwnvm,Black Waffle Hoodie,Hoodie,0,0,0,2023-01-01
p_yev838e3bk,Dark Olive Waffle Hoodie,Hoodie,0,0,0,2023-01-01
p_wrcbv4f2uu,Navy Hooded Long Sleeve T-Shirt,Sweatshirt,0,0,0,2023-01-01
p_3rcm54jqbs,Navy Waffle Hoodie,Hoodie,0,0,0,2023-01-01
p_3h5wxbdgfn,White Long Sleeve Polo,Polos,0,0,0,2023-01-01
p_g5xjgypbqs,Black Long Sleeve Button Up Shirt,Button Down Shirts,0,0,0,2023-01-01
p_pqjyybc86f,Black Waffle Long Sleeve Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_5pqpzmazbr,Carbon Long Sleeve Button Up Shirt,Button Down Shirts,0,0,0,2023-01-01
p_anqd83cjye,Military Green Waffle Long Sleeve Crew Neck,Sweatshirt,0,0,0,2023-01-01
p_5uapency29,Navy Waffle Long Sleeve Crew Neck,Sweatshirt,0,0,0,2023-01-01
p_85skykpy7r,Black Commuter Short Sleeve Button Up,Button Down Shirts,0,0,0,2023-01-01
p_v5bwyyhget,Carbon Commuter Short Sleeve Button Up,Button Down Shirts,0,0,0,2023-01-01
p_5kr9enrf6j,Charcoal Heather Gray Short Sleeve Loungewear Tee,T-Shirts,0,0,0,2023-01-01
p_xdyq8mewrc,Black Short Sleeve Button Up Shirt,Button Down Shirts,0,0,0,2023-01-01
p_56qjzafa6s,Carbon Short Sleeve Button Up Shirt,Button Down Shirts,0,0,0,2023-01-01
p_mm5tbn6qza,Black Active Comfort Crew Sweatshirt,Sweatshirt,0,0,0,2023-01-01
p_2uptnqrxy2,Black Active Comfort Pullover Hoodie,Hoodie,0,0,0,2023-01-01
p_ys335pw23m,Black Active Comfort Straight Leg Pant,Sweatpants & Joggers,0,0,0,2023-01-01
p_9attt36kqt,Black Blazer,Blazer,0,0,0,2023-01-01
p_349fd5fte5,Black Crew Neck Sweater,Knit Sweaters,0,0,0,2023-01-01
p_zzvxdda285,Black Fleece Shacket,Jacket,0,0,0,2023-01-01
p_z7kat66jsb,Black Puffer Vest,Outerwear Vests,0,0,0,2023-01-01
p_w99wqwtmd8,Black Quarter Zip Performance Shirt,Athletic Tops,0,0,0,2023-01-01
p_vkp29t8hpk,Black Sleeveless Active Muscle Tee,Athletic Tops,0,0,0,2023-01-01
p_bxpjzp3q34,Black Sweater Hoodie,Hoodie,0,0,0,2023-01-01
p_j23j35syzx,Black Wash Long Sleeve Chambray Shirt,Shirt,0,0,0,2023-01-01
p_aaa5u2senn,Black Wash Slim Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_mu7q5qx67m,Black Wash Straight Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_av6ja2w28x,Charcoal Heather Active Comfort Crew Sweatshirt,Athletic Tops,0,0,0,2023-01-01
p_jqxjnq8mc8,Charcoal Heather Active Comfort Straight Leg Pant,Sweatpants & Joggers,0,0,0,2023-01-01
p_hzkzcd9ag9,Charcoal Heather Gray Long Sleeve Ripstop Commuter Shirt,Shirt,0,0,0,2023-01-01
p_zc74ftx9hy,Charcoal Heather Gray Pique Crew Sweater,Knit Sweaters,0,0,0,2023-01-01
p_4krqrmhc8s,Charcoal Heather Gray Active Muscle Tee,Athletic Tops,0,0,0,2023-01-01
p_qvscv7wqa7,Dark Oak Fleece French Terry Jogger,Sweatpants & Joggers,0,0,0,2023-01-01
p_yw7vvn467f,Dark Olive Long Sleeve Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_hc97kv4jxf,Deep Sea Blue Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_zp4vn3rtz4,Deep Sea Blue Long Sleeve Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_8d5cs572ku,Evergreen Heather Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_2qn4rb76qt,Evergreen Heather Long Sleeve Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_hun6quaf8f,Gray Wash Slim Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_bn49najk97,Gray Wash Straight Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_a66qgjtv8u,Heather Cadet Sleeveless Active Muscle Tee,Athletic Tops,0,0,0,2023-01-01
p_76w9v5r9gp,Heather Camel Pique Crew Sweater,Knit Sweaters,0,0,0,2023-01-01
p_m26nune3tt,Heather Cocoa Sleeveless Active Muscle Tee,Tank Top,0,0,0,2023-01-01
p_wtfwp7uyps,Heather Dark Oak Long Sleeve Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_guzmuvmxwg,Heather Dark Orchid Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_auux7guqn5,Heather Forest Sleeveless Active Muscle Tee,Athletic Tops,0,0,0,2023-01-01
p_wvdzacyaq8,Heather Garnet Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_59st4ejx9g,Heather Graphite Crew Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_pzx9wvv4qb,Heather Mauve Short Sleeve Crew Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_mkhh2ymk98,Heather Navy Active Comfort Crew Sweatshirt,Sweatshirt,0,0,0,2023-01-01
p_4tw7w4865y,Medium Gray Wash Slim Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_u25kmysesj,Medium Gray Wash Straight Fit Comfort Jeans,Jeans,0,0,0,2023-01-01
p_zm7a3rkwma,Navy Tall Straight Hem Crew Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_ens5k22dee,Black Coaches Jacket,Jacket,0,0,0,2023-01-01
p_krqrvpb5nk,Black Short Sleeve Sweater Polo,Polos,0,0,0,2023-01-01
p_ezjsg82fk7,Garnet Short Sleeve Sweater Polo,Polos,0,0,0,2023-01-01
p_qktubda8xw,Heather Sapphire Short Sleeve Vee Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_x53atty9z2,Steel Short Sleeve Vee Neck T-Shirt,Shirt,0,0,0,2023-01-01
p_tdz6dj3k93,Charcoal Heather Gray Active Shell Jacket,Jacket,0,0,0,2023-01-01
p_ef9p26sqwv,Navy Coaches Jacket,Jacket,0,0,0,2023-01-01
p_gvy838kdy9,Black + Carbon Sweater Button Up Shirt,Button Down Shirts,0,0,0,2023-01-01
p_encznv79zd,Charcoal Heather Gray Loungewear Jogger,Sweatpants & Joggers,0,0,0,2023-01-01
p_uqg73gd526,Dark Olive V-Neck T-Shirt,T-Shirts,0,0,0,2023-01-01
p_dd7ynwa46b,Military Green Coaches Jacket,Jacket,0,0,0,2023-01-01
