Brand ID,Product Category,Product Name,Is New,Product Token,Product State,Retail Price,Wholesale Price,Wholesale Promo Discount Percentage,Badge List,Brand Token,brand
b_t9cgnd5aay,Bidet,Wipeless™ Model Gt Twin Nozzle Bidet,False,p_jdpdxvks8v,FOR_SALE,27.99,18.19,0,,b_t9cgnd5aay,Bambooloo
b_4v8qx6hqsb,Bidet,Bidet,False,p_4jcz99j4ra,FOR_SALE,49.99,24.99,0,,b_4v8qx6hqsb,PURE FOR MEN
b_4v6l6ww3o7,Bidet,TUSHY Spa 3.0,False,p_gecufm4tyv,FOR_SALE,159.0,95.4,0,,b_4v6l6ww3o7,TUSHY
b_4v6l6ww3o7,Bidet,TUSHY Stand & Squares,False,p_tz7z5h3fkc,FOR_SALE,64.0,38.4,0,,b_4v6l6ww3o7,TUSHY
b_4v6l6ww3o7,Bidet,TUSHY Travel,True,p_gascg9s2n5,FOR_SALE,29.0,17.4,0,NEW_BADGE,b_4v6l6ww3o7,TUSHY
