tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_vuqttva54s,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1691175429000,True,True,r_1cyach2z7v,27467,Lilly & Jace Kids Boutique,https://lillyjacekids.com,Kids or Toy Store
bo_2nj7g624ae,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1691167860000,False,False,r_umfedgxe3k,15488,Salons Of Volterra Fort Worth at Montserrat,http://www.salonsofvolterra.com/,Spa or Beauty Store
bo_6f4qudcmtb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1691086463000,True,True,r_a8mc1t412q,41592,elfin los angeles,http://Www.elfinlosangeles.com,
bo_p49y6avhu7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690679288000,True,True,r_hr78s1z533,20446,Joy Simmons,,Clothing Boutique
bo_8jpr9xvp26,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690545879000,True,True,r_v7n7zsfyyn,11856,sienna's sunniews,http://siennassunnies.com/,Clothing Boutique
bo_wm3ywbz2ym,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1690395164000,True,True,r_88icxgknb5,3430,Mirifique Cosmetics,https://maps.google.com/?cid=2903754679396953709,Spa or Beauty Store
bo_4g46jzrbdh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689813017000,True,True,r_wc5g4jqy72,11683,Katie’s Faves Boutique,https://m.facebook.com/1981809472034449/,Gift Store
bo_qr79ba46w7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689790046000,False,False,r_eesl9fdtpg,9386,Coast Hippie,http://www.coasthippie.com/,
bo_aunz6gmqq3,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1689644281000,True,True,r_m6uk6aewvh,10295,Bleu Stitch & Embroidery,http://bleustitchandembroidery.com/,Clothing Boutique
bo_gjeensvkmb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1689641019000,True,True,r_ahsjq209ux,8779,Jenny in the City,https://shopjennyinthecity.com/,Clothing Boutique
bo_anu96v9tds,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688878775000,True,True,r_m6uk6aewvh,9295,Bleu Stitch & Embroidery,http://bleustitchandembroidery.com/,Clothing Boutique
