Brand Token,Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
b_849n5pbfjm,42POPS,4.8,5023,0.0,0.0,0.0,True,False,False,False,False,True,False,7,4
b_36lz1wnkyu,Dr. Natural,4.8,28,10.0,10.0,10.0,True,False,False,False,False,True,False,3,1
b_wwuty2ts97,Hive,5.0,3,185.0,185.0,120.0,False,True,True,False,True,True,False,7,4
b_3jxtednxl5,OMG Accessories,5.0,4,175.0,175.0,175.0,False,False,False,False,False,True,False,7,4
b_4zo2hqpuvy,WetBrush,4.9,32,100.0,100.0,100.0,True,False,False,False,False,False,False,10,6
b_bya786doke,Love and Repeat,4.8,1159,50.0,50.0,50.0,False,False,False,False,False,True,False,3,1
b_vsxe65ezpv,Glimmer Wish,5.0,1,0.0,0.0,0.0,True,True,False,False,False,True,False,7,4
