tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_qrtcjhceau,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662653214000,True,True,r_7ndml3oypk,61682
bo_5yktgfcna8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662649014000,False,False,r_64u15doh,50794
bo_nj7dzf8rk9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662646112000,False,False,r_4vhpl4dvdd,188662
bo_cvv6hf4ahc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662643489000,False,False,r_2d656xjav3,177886
bo_a5rz4gcdce,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662594985000,True,True,r_afr6ftzy,171685
bo_zzcz58td93,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662594985000,True,True,r_mymr2zfkjn,56582
bo_hkejx7fnns,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662589250000,False,False,r_2enjypkfb7,41952
bo_pgvs6mzahs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662588950000,False,False,r_dxcvyyxavo,356862
bo_a3k3cbese8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662583800000,True,True,r_e5105d57,52842
bo_6fbuj63qng,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662571200000,False,False,r_5ckdntoz,21297
bo_f7ry2dhfyz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662570601000,False,False,r_f20i6agu34,27852
bo_w867477e7a,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662527101000,False,False,r_53likuas,32043
bo_n9hbjus2da,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662513601000,False,False,r_755z8p3c,35727
bo_uegx4axm6p,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662508200000,True,True,r_4n8ajods,52237
bo_hknsmbamhe,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662506401000,False,False,r_94pf563s,50742
bo_3zcs66p6n3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662506101000,True,True,r_bfbsx66z,67286
bo_am2d9rhzrt,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662505500000,False,False,r_dca4c3b4d6,82910
bo_svw4dxbg3g,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662494401000,False,False,r_2enjypkfb7,54852
bo_vw2kte87mk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662483601000,True,True,r_aom8tdip,225303
bo_s276b94f5j,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662477301000,False,False,r_9nh2v3ahs4,24123
bo_cvh47udq3b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662428400000,False,False,r_99uuem6q,41376
bo_qvkkszqdfj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662318601000,False,False,r_9vnr507jjc,19465
bo_8h54tcm783,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662258901000,False,False,r_c23h30xc,38610
bo_35vuayqtjq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662218701000,False,False,r_av9dbs3ffh,22519
bo_zktnu8npzf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662157801000,False,False,r_90gxgui12o,49652
bo_2ryyf7nvah,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662153300000,False,False,r_1mzzj3ntiu,29525
bo_mxat4h47da,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662058501000,True,True,r_5iqc498t77,109486
bo_tzkhxjxsy4,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1662058501000,True,True,r_5iqc498t77,6412
bo_jh9hfub3qt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1662042000000,False,False,r_7k02tbfkli,20193
bo_xn86bb76n4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1662032101000,False,False,r_aaf2cg6m,32733
bo_9ws6wb3zu2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661991001000,False,False,r_49eetbvpgq,20953
bo_z6evyy6w8k,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661971201000,True,True,r_99tox8rxbq,48080
bo_jhfdy9nb2f,BACKORDER,CANCELED,CANCELED,ELEVATE,1661971201000,True,True,r_99tox8rxbq,0
bo_pr6ykny6sb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661886601000,False,False,r_1gu0io9xgc,124019
bo_3yuu899w8m,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661877002000,False,False,r_5h1jba4qty,70259
bo_afm989ygak,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661871900000,False,False,r_ahd1w3ik2j,149208
bo_7m4hbxkdep,BACKORDER,CANCELED,CANCELED,ELEVATE,1661871900000,False,False,r_ahd1w3ik2j,0
bo_peex5mu2c8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661869501000,True,True,r_53likuas,60300
bo_7mgw5mzh94,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661868600000,False,False,r_9vnr507jjc,55335
bo_5vsv4mc8sy,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1661819700000,True,True,r_38dei9dzwh,0
bo_8va8f54h66,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1661791801000,True,True,r_350av4kaem,0
bo_3ttv269xpj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661789400000,True,True,r_5xmory6b,55998
bo_aujbsrtr3t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661736301000,False,False,r_av9dbs3ffh,21091
bo_abps22jvp7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661725800000,False,False,r_dgio70dyke,77358
bo_fwz6kfzetu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661715301000,False,False,r_7c47yrvv8u,540357
bo_j25mkgqmu7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661709900000,False,False,r_b2882a06ps,72217
bo_hvgffpay4z,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1661693401000,False,False,r_9vnr507jjc,0
bo_cpd85hbyde,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661616300000,False,False,r_dqxc46m9,69302
bo_gx9uf3jvs4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661548500000,False,False,r_25o17vo6,39546
bo_pky5z9z778,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661545801000,False,False,r_7uxjst23py,171551
bo_j8t48986y7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661528701000,False,False,r_csu8wtpd,216069
bo_7rbue43h5x,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661494500000,False,False,r_g69xp4k555,17749
bo_jfg484qfg3,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661481001000,True,True,r_caxwie32w5,42245
bo_536hcwkp6g,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661473501000,True,True,r_eobnkv5q,107188
bo_fj6vu8y4a7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661460301000,False,False,r_5k36x0tz,30985
bo_5afn6re4q9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661448901000,True,True,r_b9wuayyxqn,50574
bo_gb8z9re4qu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661437201000,False,False,r_64u15doh,49422
bo_vjbzy28aqd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661343001000,False,False,r_b64d8xnaxi,67697
bo_56k6xqezej,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661291100000,False,False,r_bsoxbji8,22592
bo_y47cyeq28t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661278801000,True,True,r_swzzwq2wqk,34245
bo_2kds8n2vxr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661276100000,True,True,r_e6wsbkbg,88456
bo_thz3skryu5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661269501000,False,False,r_d5552dykbe,146403
bo_ccy5mcqq7h,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1661267400000,False,False,r_9nh2v3ahs4,34217
bo_cfw7cywzvm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661264701000,False,False,r_42adgsmh8o,33527
bo_h6eumpgaqw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1661207400000,True,True,r_rqa3xyecau,53563
bo_a22vxr4yjc,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1661207400000,True,True,r_rqa3xyecau,20136
