tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_benrkrb9x5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1697313195000,False,False,r_88pxjjl92f,55756,buka,https://maps.google.com/?cid=874540996778399176,Clothing Boutique,False
bo_rtrgqd5eax,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697287395000,False,False,r_mf46a7q7uh,40226,Shine Boutique,,Clothing Boutique,False
bo_rbe4pp6zba,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1697227095000,False,False,r_rjcus8mams,59842,Purple Tree,https://thepurpletree.org/,Gift Store,False
bo_6jd3y3m8hh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697224995000,False,False,r_230v4g4dd5,75569,Between Friends Boutique,,Clothing Boutique,False
bo_jvyf775duc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697222895000,False,False,r_4jeq95at,42916,TASI,http://tasidesigns.com,Gift Store,True
bo_awjp4jbz3j,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697155820000,False,False,r_8qw8zqbrqm,40380,Elora Home Interiors,http://elorahomeinteriors.com,Home Decor Store,False
bo_wm678gbx2e,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697147420000,False,False,r_9d10zxea,123712,nest,,Gift Store,True
bo_wcbrjd8b4f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697142920000,False,False,r_4ktpy2qidx,73242,Let’s bag it,http://www.letsbagitonline.com/,,False
bo_6atn397j4u,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697136203000,True,True,r_5fnqi3i8aj,54688,Lark Home Apparel,http://larkapparel.com/,Clothing Boutique,False
bo_wum499mjbd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697125777000,False,False,r_pcrb24pxjm,38935,Windy City Boutique,http://www.windycityboutique.com/,Gift Store,False
bo_jpgcq5azae,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697098777000,True,True,r_8sm3m1aqxq,52576,Bobbi Lyn's Clothing Boutique,https://www.facebook.com/pages/Bobbi-Lyns-Clothing-Boutique/111433398918916,Clothing Boutique,False
bo_saa7uy5g67,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1697060879000,False,False,r_f3vohi1eqi,10733,Olivia grace salon & facial bar,http://oliviagrace.com/,Spa or Beauty Store,True
bo_r8cmfxe3m6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697055277000,False,False,r_3c12t8lmje,100485,Nature's Corner,https://maps.google.com/?cid=12742614152278602663,General or Mercantile Store,True
bo_nd2fustweb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697054377000,False,False,r_a9jyy0gm4g,45385,The Lotus Boutique,https://thelotusboutique.com/,Clothing Boutique,False
bo_99weatvv9h,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1697052277000,False,False,r_2jhjn536ux,50886,Harlow Lifestyle & Gift,https://maps.google.com/?cid=14023624437698705978,Gift Store,False
bo_ns974tfzj7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1697052277000,False,False,r_90no4qgb2f,24717,Jewelry Box,http://www.portagehandbags.com/,,False
bo_ex65znuqwy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1697036745000,False,False,r_5uufm4tlen,23261,Nest Gallery,,,True
bo_2r2qrf9bp8,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1696993545000,False,False,r_6rmqtnfdts,0,SoLo,http://www.solocedros.com/,,True
bo_cjudpwj5ha,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696976145000,False,False,r_8qw8zqbrqm,34029,Elora Home Interiors,http://elorahomeinteriors.com,Home Decor Store,False
bo_g8wb2rr6wz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696973745000,False,False,r_2zpmc1hjgz,108097,The Mercantile at Springdale,http://www.themercantilehb.com/,,False
bo_havg49hwaw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696968045000,False,False,r_pkdvshytfm,42104,CITRINE design shop,http://citrinedesignshop.com,Gift Store,False
bo_mjrkj9zqfr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696955570000,False,False,r_7pwlwhk7um,45105,Bittersweet,http://bittersweetbrockport.com/,Gift Store,False
bo_ax4f7zkmkd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696952870000,False,False,r_9nh2v3ahs4,22392,Silver Legends,http://Silverlegendsbagsandjewelry.com,Gift Store,False
bo_xgevjnxbc8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696883570000,False,False,r_cspd93ekmt,27774,Hive of Madison,http://www.hiveofmadison.com,Clothing Boutique,True
bo_8xe7hn3mju,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696868870000,False,False,r_ifctu58q,27646,Surroundings,,Home Decor Store,True
bo_3cheqsjfy4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696817382000,False,False,r_f3vohi1eqi,21926,Olivia grace salon & facial bar,http://oliviagrace.com/,Spa or Beauty Store,False
bo_jpug32pga5,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696816182000,False,False,r_eba4ej0oyi,73760,Station salon,http://www.stationsalon.com/,Clothing Boutique,False
bo_sc434b8wxz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696814682000,False,False,r_4i5v49xw,53132,"Gotta Have It, Inc.",,Clothing Boutique,True
bo_9cn34w5zbj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696805682000,False,False,r_8qw8zqbrqm,24958,Elora Home Interiors,http://elorahomeinteriors.com,Home Decor Store,False
bo_vst25qypgd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696696182000,False,False,r_2i7lqmtk5o,23745,Una,,Gift Store,True
bo_gwtmqp4nwt,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696691982000,True,True,r_9jlqsqdwwc,51356,The Sanctuary Boutique,http://www.thesanctuaryboutiquehendersonville.com/,Clothing Boutique,False
bo_u5a83aegsb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696648782000,False,False,r_d13joj5b,43661,Nest,https://nesthomestore.com/,Home Decor Store,True
bo_8vyhzuk2u4,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696643382000,True,True,r_36br3wv36o,57524,Keema Salon,http://www.keemasalon.com/,Spa or Beauty Store,True
bo_5fnmbtenxd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696632882000,False,False,r_2jg6gg7y,59061,Dandy Home & Ranch,http://dandyhomeandranch.com/,,True
bo_vveed3b4yn,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1696627182000,False,False,r_bsoxbji8,0,Twigs,http://www.facebook.com/twigsva,Gift Store,True
bo_jk6hbq2xuh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696626282000,False,False,r_bsoxbji8,50162,Twigs,http://www.facebook.com/twigsva,Gift Store,True
bo_7w8xdqbhug,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696623882000,False,False,r_25o17vo6,48387,Altiplano,http://www.altiplano.com/,,True
bo_y2fcwmj7vc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696620282000,False,False,r_5nes1amqgh,21019,Tangerine Boutique,http://www.tangerine-boutique.myshopify.com/,Clothing Boutique,True
bo_dhme2usqwf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696611965000,False,False,r_53likuas,111288,Jenny Oosterwyk,,,True
bo_hkh5psfwqh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696605065000,False,False,r_cspd93ekmt,60944,Hive of Madison,http://www.hiveofmadison.com,Clothing Boutique,True
bo_t4z4w8ju64,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696568765000,True,True,r_bbfoem2m3v,64845,"Ella, where she shops",https://www.ellawheresheshops.com/,Clothing Boutique,False
bo_ttpkvrbjk7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696566965000,False,False,r_c4kfakmtks,24395,Denmark's Furniture Mart,http://www.denmarksfurnituremart.com/,Furniture Store,False
bo_32sdynsu3j,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696542965000,False,False,r_ee78z42uo0,115147,Bag Cellar,https://www.bernardowinery.com/pages/the-village-shops,Clothing Boutique,True
bo_v5qhf68de9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696541165000,True,True,r_a66fz5qst3,76612,Calluna Fine Flowers and Gifts,,,False
bo_vs295ec2yf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696533365000,False,False,r_1yttxifjuq,74440,Shoes t' Boot,http://shoestboot.ca/,Clothing Boutique,False
bo_n52n399wdd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696530665000,False,False,r_7ghlg8q1,123683,Home Crush,http://homecrushstore.com,Home Decor Store,True
bo_3cy37say32,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696526765000,True,True,r_78bohjjd,54359,Relish,http://relishtc.com,Clothing Boutique,False
bo_xwpegsegqr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696517158000,False,False,r_1z552rk6,64091,Lakeshore Trends,http://lakeshoretrends.com/,Gift Store,False
bo_rjw4sz5u3v,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696514458000,True,True,r_cuhj1e5c,72978,Wild Hearts Boutique 214 E Main St Streator IL,,Clothing Boutique,False
bo_y56cvsghbr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696514458000,False,False,r_9fmwwts0oy,45272,Main Street Merchants 208 N Main,http://Www.mainstreetmerchantscomroe.com,Clothing Boutique,True
bo_xw9xpu5ruz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696461058000,True,True,r_w9cug6wxm2,345245,Sundance Mountain Resort,http://sundanceresort.com,Clothing Boutique,False
bo_z6qqpkzmwm,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696452358000,False,False,r_2i7lqmtk5o,34735,Una,,Gift Store,True
bo_4xddkf3xv5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696449658000,False,False,r_33h5on1s,43207,Village Bungalow,http://www.villagebungalowny.com,Home Decor Store,True
bo_gcymxbtt9q,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1696382831000,False,False,r_9hsyq7ic,35097,The Wickford Collection,https://twc-home.com/,Home Decor Store,True
bo_w7hpka8wm9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696381331000,False,False,r_c23h30xc,40036,CRAIG RYANS,http://www.craigryansinteriors.com,Home Decor Store,True
bo_vd8mmx9kye,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1696381031000,False,False,r_d2sjeqka,43292,Stephanie’s,,,True
