Product name,SKU,Type,Page views,Orders,Units sold,Date
Bowie Wide Leather Embroidered Shoulder Strap,0009OAT,Bag Straps,0,0,0,2023-01-01
Brigitte Leather Tote,Multiple,Tote Bag,16,0,0,2023-01-01
Brodie Leather Tote,Multiple,Tote Bag,23,0,0,2023-01-01
Brynn Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Callie Leather Sling/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Capucine Leather Crossbody,3177HZL,Crossbody Bags,0,0,0,2023-01-01
Cate Leather Crossbody,2100GRY,Crossbody Bags,21,0,0,2023-01-01
Chester Leather Tote,Multiple,Tote Bag,0,0,0,2023-01-01
Claire Leather Tote/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Clara Leather Backpack,Multiple,Backpack,4,0,0,2023-01-01
Dale Leather Travel Kit,Multiple,Travel Sewing Kit,0,0,0,2023-01-01
Deja Leather Crossbody,Multiple,Crossbody Bags,4,0,0,2023-01-01
Edda Leather Wallet/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Edie Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Ellison Leather Shoulder Bag,Multiple,Shoulder Bags,0,0,0,2023-01-01
Emmy Leather Crossbody,3201HUNT,Crossbody Bags,13,0,0,2023-01-01
Frankie Leather Tote/Crossbody,Multiple,Tote Bag,38,0,0,2023-01-01
Frankie Leather Tote/Crossbody,Multiple,Tote Bag,0,0,0,2023-01-01
Freya Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Gemma Leather Tote,Multiple,Tote Bag,0,0,0,2023-01-01
Gio Leather Wallet,Multiple,Wallets,0,0,0,2023-01-01
Gita Leather Crossbody Bubble Black,9179BBLK,Crossbody Bags,12,0,0,2023-01-01
Greta Leather Tote,5626TIE,Tote Bag,4,0,0,2023-01-01
Greta Leather Tote,Multiple,Tote Bag,18,0,0,2023-01-01
Gypsy Leather Crossbody,5504BOSC,Crossbody Bags,0,0,0,2023-01-01
Harbor Leather Crossbody Bubble Black,9105BBLK,Crossbody Bags,12,0,0,2023-01-01
Hayworth Leather Crossbody/Clutch,Multiple,Crossbody Bags,0,0,0,2023-01-01
Heart Detail Leather Cardholder,3734PPAC,Wallets,0,0,0,2023-01-01
Henson Leather Tote,4106STN,Tote Bag,7,0,0,2023-01-01
Hope Leather Crossbody/Belt Bag,Multiple,Crossbody Bags,0,0,0,2023-01-01
Iris Leather Crossbody,Multiple,Tote Bag,6,0,0,2023-01-01
Jackson Leather Shoulder Bag,Multiple,Shoulder Bags,0,0,0,2023-01-01
Jamie Leather Crossbody,Multiple,Crossbody Bags,5,0,0,2023-01-01
Jaye Leather Shoulder Bag/Crossbody,4105STN,Crossbody Bags,25,0,0,2023-01-01
Larkspur Leather Tote,Multiple,Tote Bag,0,0,0,2023-01-01
Laurent Leather Crossbody,Multiple,Crossbody Bags,24,0,0,2023-01-01
Leather Downtown Travel Kit,Multiple,Travel Set,0,0,0,2023-01-01
Leather Hanging Travel Kit,Multiple,Travel Set,0,0,0,2023-01-01
Leather Tech and Accessory Roll,Multiple,Travel Set,0,0,0,2023-01-01
Leather Tech Travel Kit- Md,Multiple,Travel Set,0,0,0,2023-01-01
Leather Tour Bag Weekender,Multiple,Weekender Bags,0,0,0,2023-01-01
Leather Uptown Travel Kit,Multiple,Travel Set,0,0,0,2023-01-01
Levi Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Lillianne Leather Crossbody,Multiple,Tote Bag,27,0,0,2023-01-01
Lira Leather Tote/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Lotus Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Lucy Leather Crossbody,4103STN,Crossbody Bags,15,0,0,2023-01-01
Marge Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Margie Leather Tote Bubble Black,9623BBLK,Tote Bag,18,0,0,2023-01-01
Mateo Leather Backpack,Multiple,Backpack,0,0,0,2023-01-01
Milo Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Montrose Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Morgan Leather Tote/Crossbody,Multiple,Tote Bag,6,0,0,2023-01-01
Neela Leather Shoulderbag,Multiple,Shoulder Bags,15,0,0,2023-01-01
Nolan Leather Tote/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Overstock Leather Tote,Multiple,Tote Bag,0,0,0,2023-01-01
Payne Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Peace Leather Shoulder Bag,5505MUS,Shoulder Bags,0,0,0,2023-01-01
Prado Leather Tote/Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Renzo Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Rhodes Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Rochelle Leather Crossbody,4104STN,Crossbody Bags,4,0,0,2023-01-01
Roxie Leather Tote/Crossbody,Multiple,Tote Bag,0,0,0,2023-01-01
Sadie Leather Crossbody,3110OATP,Crossbody Bags,0,0,0,2023-01-01
Sam Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Sanchez Leather Backpack/Crossbody,4109BLK,Backpack,19,0,0,2023-01-01
Sari Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Sheldon Leather Backpack,Multiple,Backpack,14,0,0,2023-01-01
Sigourney Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Simone Leather Crossbody,Multiple,Crossbody Bags,23,0,0,2023-01-01
Skye Leather Tote/Crossbody,6128PYT,Tote Bag,6,0,0,2023-01-01
South Side Leather Travel Kit,Multiple,Travel Set,0,0,0,2023-01-01
Talulah Leather Wallet,Multiple,Wallets,36,0,0,2023-01-01
Tate Leather Shoulderbag,5506BRN,Shoulder Bags,0,0,0,2023-01-01
Tenley Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Terra Leather Crossbody,5502BRN,Crossbody Bags,0,0,0,2023-01-01
Turner Leather Crossbody,Multiple,Crossbody Bags,3,0,0,2023-01-01
Val Leather Crossbody,Multiple,Crossbody Bags,7,0,0,2023-01-01
Weaver Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Wells Leather Crossbody,Multiple,Crossbody Bags,18,0,0,2023-01-01
West Side Leather Travel Kit,Multiple,Travel Set,0,0,0,2023-01-01
Woodstock Leather Wallet,Multiple,Wallets,0,0,0,2023-01-01
Yoli Leather Crossbody,Multiple,Crossbody Bags,0,0,0,2023-01-01
Yuma Leather Crossbody,5503TEL,Crossbody Bags,0,0,0,2023-01-01
Yves Leather Fanny Pack/Clutch,2519WHT,Belt Bags,0,0,0,2023-01-01
Zurich Leather Backpack,Multiple,Backpack,0,0,0,2023-01-01
