Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Latico Leathers,4.9,118,500.0,500.0,200.0,True,True,False,False,False,True,False,7,4
Sarta,5.0,31,127.53,127.53,127.53,False,True,False,False,False,True,False,3,1
Roma Leathers,5.0,37,200.0,200.0,150.0,True,False,False,False,False,False,False,2,0
Sixtease Bags USA,5.0,2,199.0,199.0,199.0,True,True,True,False,False,False,False,10,8
Threaded Pear,4.8,460,75.0,75.0,0.0,True,False,False,False,False,False,False,3,1
