Brand Token,Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
b_1c6eqlam,Dolan Geiman,5.0,54,100.0,100.0,0.0,False,False,False,False,False,False,False,7,4
b_16o7r3v1y0,Elana Gabrielle,5.0,108,150.0,150.0,100.0,False,True,True,False,False,True,False,5,3
b_bvsdvpi0,Janet Hill Studio,5.0,250,150.0,150.0,150.0,True,False,False,False,False,True,False,7,4
b_287hnpmuoj,GreenBox Art,4.8,175,100.0,100.0,100.0,True,False,False,False,False,False,False,17,8
b_w3gq5yaatc,Canyon & Cove Art,5.0,34,150.0,150.0,200.0,False,False,False,False,False,True,False,7,4
