tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_mexg9nu8mr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717512128000,True,True,r_vsqgjmr2b8,108828,suuperhuman,http://suuperhuman.com/,,True
bo_6na3483d3s,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717432640000,False,False,r_jvd768kk5q,23880,Magnifique Salon,http://www.magnifiquesalonvt.com/,,False
bo_egvrapctms,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717429640000,False,False,r_nj6qhh26bx,87169,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_pcgqaxmtkv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717393640000,True,True,r_zad2qake3g,21851,EcoActor,http://ecoactor.ca/,,False
bo_48yypmzjxa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717262840000,False,False,r_3bczzvdqaa,39031,Brands4les LLC,http://www.brands4les.com/,Clothing Boutique,True
bo_zsygsakep9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717224740000,False,False,r_ej9qsma7th,36822,Beauty Kiss Inc.,http://beautykissus.com/,,False
bo_xz8y8gmnax,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717129013000,False,False,r_bkpe5deham,9336,The Wash House Salon & Soapery,https://www.facebook.com/thewashhousesalonsoapery/,Spa or Beauty Store,False
bo_tjzvfykjra,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717099313000,True,True,r_c2pmcmaq,20610,Inergy Market,http://inergymarket.business.site/,,False
bo_dzy72cn55a,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1717018401000,True,True,r_bp9kyvctsq,34423,Whitestone Inn,http://whitestoneinn.com/,Gift Store,False
bo_y5q6r8hu86,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1717010601000,False,False,r_516fqlri,10906,Fresh Aire Spa,http://www.FreshAireSpa.com,Spa or Beauty Store,False
bo_2emnn99n6p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716955513000,True,True,r_j8xmecvdnz,11018,For The Love Of Hair,https://maps.google.com/?cid=16321645520869584549,Spa or Beauty Store,True
bo_cjxh2apaph,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1716928872000,False,False,r_nj6qhh26bx,79398,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_knxe78r82r,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716916513000,True,True,r_dmobucb9tx,12970,Naturally Good,https://www.naturallygoodcafe.com/,,False
bo_r28nkh2cku,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716786217000,False,False,r_g9er3kp57f,24470,Kent General Store LLC,http://kentgeneralstore.myshopify.com/,General or Mercantile Store,False
bo_kds4sgynn6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716725013000,False,False,r_enupwi3cjb,21463,Elizabeth Claire Salon,https://www.elizabethclaire.salon/,Spa or Beauty Store,False
bo_zbn9dz9j7r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716656613000,False,False,r_co323vzqln,23998,Jar-the Zero Waste Store,http://www.jarzerowastestore.com,,True
bo_rth9dsfzeb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716597513000,False,False,r_3bczzvdqaa,33249,Brands4les LLC,http://www.brands4les.com/,Clothing Boutique,True
bo_u8vz9c2ap4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716531941000,False,False,r_g9er3kp57f,9854,Kent General Store LLC,http://kentgeneralstore.myshopify.com/,General or Mercantile Store,False
bo_8q3y3p9sfk,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716521741000,False,False,r_ynf64v78v7,22019,DeJardin Health and Beauty,http://dejardinhealthandbeauty.com/,Spa or Beauty Store,False
bo_x9mfq2gvgz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716500441000,False,False,r_f82fshsx5n,12345,Scandinavian Skin Solutions,http://sssbysara.com/,Spa or Beauty Store,True
bo_hv9huttbzt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716488176000,False,False,r_nj6qhh26bx,40972,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_4vee7a6txa,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1716437818000,False,False,r_346fvycs4n,1972,R&E International Trading LLC,https://www.facebook.com/ecshopping222,General or Mercantile Store,True
bo_5najnacyce,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716401148000,False,False,r_nj6qhh26bx,3294,shopgrandcentral,http://shopgrandcentral.store/,General or Mercantile Store,True
bo_gzytpm8u7t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716390048000,False,False,r_ej9qsma7th,32362,Beauty Kiss Inc.,http://beautykissus.com/,,False
bo_txmh52aq7w,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1716344728000,False,False,r_6hsuisdf5e,12162,The Skin Studio LLC,http://www.vagaro.com/theskinstudioforyou,Spa or Beauty Store,False
bo_f3atc58u56,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716325375000,True,True,r_d8exqw5x2n,13278,Jolley's Sandy Compounding Pharmacy,http://www.jolleyssandypharmacy.com/,,False
bo_u23wuh8kau,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716314655000,True,True,r_byxcjssn0d,27918,Green Point Rx Inc dba: ALTRU CHEMISTS,,,True
bo_7tvj45jm7h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1716312397000,False,False,r_egqigm27g8,9545,Great Basin Community Food Co-op,http://www.greatbasinfood.coop/,Grocery or Liquor Store,True
