tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_nb3cxqhxes,Faire Market Day 1,ONE_TIME,COMPLETED,1689692400000.0,2187.0,1820.0,706.0,19.0,7.0,858.5,3.0,265.5
bmc_465mxsd4kb,Faire Market Friday Campaign ,ONE_TIME,COMPLETED,1689373792000.0,2177.0,1832.0,772.0,34.0,6.0,711.5,2.0,114.0
bmc_ruyzcbskyr,Untitled campaign 3,ONE_TIME,COMPLETED,1688755886000.0,86.0,73.0,40.0,3.0,1.0,396.0,0.0,0.0
bmc_yftjjw6n3p,Untitled campaign 2,ONE_TIME,COMPLETED,1688593113000.0,2091.0,1765.0,818.0,31.0,3.0,697.0,0.0,0.0
bmc_fdxte77wcg,Untitled campaign 1,ONE_TIME,COMPLETED,1688412116000.0,85.0,73.0,35.0,1.0,1.0,117.0,1.0,117.0
bmc_wfet798htn,Invitation 3,ONE_TIME,COMPLETED,1686687887000.0,2059.0,1729.0,653.0,37.0,2.0,303.0,2.0,303.0
bmc_hfakutqy72,Invitation 2,ONE_TIME,COMPLETED,1685991332000.0,136.0,128.0,67.0,5.0,2.0,209.5,1.0,108.0
bmc_cg5m6cu7bu,Review campaign 2,ONE_TIME,COMPLETED,1685067264000.0,42.0,36.0,24.0,1.0,0.0,0.0,0.0,0.0
bmc_d89z2pg8p3,Untitled campaign,ONE_TIME,COMPLETED,1684950931000.0,135.0,127.0,62.0,3.0,0.0,0.0,0.0,0.0
bmc_waacsk8mb5,Invitation,ONE_TIME,COMPLETED,1684451539000.0,138.0,128.0,67.0,1.0,1.0,225.0,1.0,245.0
bmc_tpvhcrqwhm,Review campaign ,ONE_TIME,COMPLETED,1683577838000.0,18.0,15.0,10.0,2.0,2.0,360.5,1.0,257.0
bmc_zhh3smez7s,Purple Shampoo,ONE_TIME,COMPLETED,1684249214000.0,166.0,149.0,91.0,4.0,5.0,1400.25,1.0,108.0
