Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Boredwalk,5.0,32,100.0,100.0,100.0,True,False,False,False,False,True,False,14,11
Willow Poppy,5.0,31,175.0,175.0,120.0,True,False,False,False,False,True,False,10,8
Hart and Hollow,3.8,18,200.0,200.0,100.0,True,False,False,False,False,True,False,31,19
DUCK Creations,4.8,17,125.0,125.0,125.0,True,False,False,False,False,True,False,5,2
One24 Rags,5.0,236,100.0,100.0,75.0,True,False,False,False,False,False,False,10,8
