tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_btjdux1dft,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1603898100000,False,False,r_82zngvcb,38250,Wit & Whimzy,http://www.witnwhimzy.com,Gift Store
bo_e8jrf0bug9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1603555500000,True,True,r_510ihx0vkd,16875,Los Libros,https://www.facebook.com/LosLibrosBookstore/?modal=admin_todo_tour,Bookstore
bo_9tkjaws8ue,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1602883200000,False,False,r_7ydaezsj,71250,"Made; By the People, for the People",http://www.made-va.com/,Gift Store
bo_90qrre7rn5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1602688200000,True,True,r_f3hoi8vs,38438,Bumble's Dry Goods,https://maps.google.com/?cid=6879977850851479525,
bo_5vwa4vpt9e,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1602565800000,True,True,r_3w2k41geoh,16875,"Dustin Sinner Fine Art, Inc.",http://www.dustinsinner.com/,Home Decor Store
bo_6idilkrq5b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1602558600000,True,True,r_6d7a6ce8,25312,Wild Cat Gift & Party,http://www.wildcatgiftandparty.com,Gift Store
bo_d2okbvsflw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1602553200000,False,False,r_52vvtggtag,15000,Ferguson Books & More!,http://www.fergusonbooks.com,Bookstore
bo_a9aubvy3l9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1602113100000,True,True,r_br7tzclprf,16875,Precision Grooming,http://precisiongroomingok.com/,
bo_3eqqn8uwq4,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1601504400000,False,False,r_f54k45de,13812,HomeGrown Decatur,http://www.homegrowndecatur.com/,Gift Store
bo_2n8vmauf5r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1600966201000,False,False,r_4p00pqvb,29750,Evergreen Garden Center,https://maps.google.com/?cid=11466065684090350903,Florist or Garden Store
bo_ep7lgakro1,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1599753900000,False,False,r_9f70pbae13,22312,2nd To None Thrift Shop,https://2nd-to-none-thrift-shop.business.site/?utm_source=gmb&utm_medium=referral,Clothing Boutique
bo_d1yn7fy9nh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1598721301000,False,False,r_1eqjkrpk,31875,Indigo Blues & Co.,http://www.indigobluesandco.com/,Clothing Boutique
bo_eqhp3dgrre,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1598565300000,True,True,r_5dw4zblaxe,16875,The Mystics Club,http://themysticsclub.com/,Gift Store
bo_16m00h05wx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1598560800000,False,False,r_47wpp3nmvq,21250,Origin Of Era,,
bo_84wkeh8fmz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1598143200000,True,True,r_f54k45de,22500,HomeGrown Decatur,http://www.homegrowndecatur.com/,Gift Store
bo_bsfklz04dq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1597858501000,True,True,r_a6514vbp,57188,Strapping Store,https://www.strappingsacramento.com/,Gift Store
bo_6c7cz642h7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1596825900000,False,False,r_bqxd1bdl,20188,Gaslamp Gift Gallery,http://www.gaslampgiftgallery.com/contact/,
bo_bl8zziev6m,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1596662401000,False,False,r_6btvtx7y,21250,Artisan Center,http://www.artisancenterdenver.com/,Gift Store
bo_eorqehn4at,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1595802601000,False,,r_bq3e4t3c,12750,Reading Rock Books,http://www.thereadingrock.com/,Bookstore
bo_efkio7xgae,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1595536200000,False,,r_9bugt34k,12750,Silly Dilly's at The Enchanted Spot,http://www.sillydillys.com/,Gift Store
bo_4v0y4s2nsh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1595534100000,False,,r_9f70pbae13,19125,2nd To None Thrift Shop,https://2nd-to-none-thrift-shop.business.site/?utm_source=gmb&utm_medium=referral,Clothing Boutique
bo_90b44cwgtk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1594866901000,True,,r_1tf5fn46il,35625,Baby J's Children's Boutique,,Clothing Boutique
bo_b5sz4s34a0,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1594592401000,True,,r_ac8xfw8lhh,20625,Nature + Nurture,https://m.facebook.com/Nature-Nurture-111963463880716/,Clothing Boutique
