Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Levtex Home,5.0,13,250.0,250.0,150.0,True,False,False,False,False,False,False,12,6
C&F Home,4.7,1088,75.0,75.0,75.0,True,False,True,False,False,True,False,7,4
BH Collective,4.5,17,150.0,150.0,200.0,True,True,False,False,False,True,False,7,4
ELISABETH YORK,5.0,12,200.0,200.0,100.0,True,False,False,False,False,True,False,10,8
Peking Handicraft,4.8,2360,100.0,100.0,75.0,True,False,False,False,False,True,False,7,4
Avanti Linens,5.0,7,250.0,250.0,100.0,True,False,False,False,False,False,False,14,11
