tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_4t68rktr7c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667935140000,False,False,r_5shbhfbbp9,31835
bo_2dcgpmsxbp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667880445000,True,True,r_apnvug66tt,59717
bo_s2uxjwgcs9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667784084000,True,True,r_r8y9tmed4p,99876
bo_2w8cwchprg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667751076000,True,True,r_2ltd9ws9fe,94229
bo_n3rpdk4g7f,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1667751076000,True,True,r_2ltd9ws9fe,0
bo_z55k4ngu5a,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667693776000,True,True,r_j4u48mrf3c,80858
bo_rq46vjtzav,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1667693776000,True,True,r_j4u48mrf3c,0
bo_dbydf5vxk5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667690476000,False,False,r_8qi9jp2ly5,43068
bo_f2mg5eqz4p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667663776000,False,False,r_difoepmjye,87360
bo_48382567sq,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667601376000,False,False,r_esdmnf4x,282542
bo_7eswe2gk2p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667496116000,True,True,r_6tft7gzxbk,56784
bo_h2tfy8f2r4,SPLIT_ORDER,DELIVERED,FULFILLED,ELEVATE,1667496116000,True,True,r_6tft7gzxbk,40522
bo_japrvnmppd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667430716000,False,False,r_dueevdmz8w,69665
bo_t7r5jx3m5b,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667402216000,False,False,r_ezt47vebwx,39984
bo_kcqrxjzrte,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667350239000,True,True,r_njgpawpvtx,34243
bo_hgpf9hkkvv,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667337502000,False,False,r_7l47642s,95054
bo_7j469tmxrw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667331805000,True,True,r_bealy4irjl,28710
bo_x5bsxunu43,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667319805000,False,False,r_32janeff,83261
bo_3rug2vukw9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1667255583000,False,False,r_bs4ug3k7pz,95836
bo_xrcpwbzxrs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1667238196000,False,False,r_9v83km73y6,156736
