tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types
bo_13336x5g2l,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616793001000,True,True,r_b6kj07xygx,17745,Nomad-Chicago,http://www.nomad-chicago.com,General or Mercantile Store
bo_6sl93tqdcn,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1616793001000,True,True,r_b6kj07xygx,7605,Nomad-Chicago,http://www.nomad-chicago.com,General or Mercantile Store
bo_3qscoc4rn1,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1616790926000,False,False,r_7bwhvp8sqm,7008,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_ajxtkgixx9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616769600000,False,False,r_6hg21rcxlr,40824,Cailini Coastal,http://www.cailinicoastal.com,Home Decor Store
bo_2k6f2d3m6o,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1616769600000,False,False,r_6hg21rcxlr,46494,Cailini Coastal,http://www.cailinicoastal.com,Home Decor Store
bo_aro2i8zg5i,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616621400000,True,True,r_etdpsoxzan,30420,Union and Main,http://www.unionandmainsf.com,
bo_6m2uegotgh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1616564101000,True,True,r_4xpgnnl1da,104956,The Gardenroom,https://www.gardenroomfairhaven.com/,Gift Store
bo_ulhf1yumj9,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616448001000,True,True,r_5shbhfbbp9,33133,Happy Cabbage,http://www.happycabbagegifts.co,Gift Store
bo_f3jcn8m4gy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616372701000,True,True,r_1cl6d3idet,28392,Barratt Riley & Co,http://www.barrattriley.com/,Home Decor Store
bo_92btxewc2n,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616343900000,True,True,r_4aq52a93,64143,Farmhaus,,Home Decor Store
bo_3t66ohacca,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616343301000,False,False,r_93p982fw,39066,Daylily Floral in Cascade,https://daylilyfloral.com/,Clothing Boutique
bo_6n1nr99dkh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1616289600000,True,True,r_62lxiodrzk,65645,The winsome nests,"https://maps.google.com/?q=13600+CA-160,+Walnut+Grove,+CA+95690,+USA&ftid=0x809ab15a8ca32cd7:0x8c9029520892a6c9",Home Decor Store
bo_96p1na3ymm,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1616289600000,True,True,r_62lxiodrzk,0,The winsome nests,"https://maps.google.com/?q=13600+CA-160,+Walnut+Grove,+CA+95690,+USA&ftid=0x809ab15a8ca32cd7:0x8c9029520892a6c9",Home Decor Store
bo_7g8rsku1we,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616276101000,True,True,r_5ee2c8hlzg,28392,Leewood + Co,http://www.leewoodandco.com,
bo_cb65gomcke,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616267400000,False,False,r_cm940srq,31015,Cultiverre LLC,http://cultiverre.com,General or Mercantile Store
bo_ew9an1tjb6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1616018401000,True,True,r_1oqg7xp5sw,30463,Hot and Cold Co.,http://HotandColdCo.com,
bo_3xxlmeklm9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615996501000,False,False,r_cni37irztv,68328,Cream,,
bo_ehi5qt9lpu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1615782600000,True,True,r_eylpm2dt,46391,Comfortably Chic,https://comfortablychic.com/,Home Decor Store
bo_di0raroh3y,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615587900000,True,True,r_a6zcoa6xn4,36004,Crabby Chic,https://maps.google.com/?cid=10078182039644907764,Clothing Boutique
bo_14vbc7cvz3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615587300000,False,False,r_7bwhvp8sqm,49938,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_59qcnfrn7y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1615411200000,True,True,r_27dbyhrh,26820,LUX BOX Company,http://www.luxboxco.com,
bo_f1bwysz1z8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1615232701000,False,False,r_28pt98k0ox,115621,East Hampton Gardens,http://www.easthamptongardens.com/,
bo_ep7eisy5u5,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1615232701000,False,False,r_28pt98k0ox,0,East Hampton Gardens,http://www.easthamptongardens.com/,
bo_d3cdx8gf6o,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1615224743000,False,False,r_7bwhvp8sqm,6307,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_88s2c7fjku,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615217401000,False,False,r_ke6zcv932s,57816,Essentials,http://Www.essentialsofokc.com,Gift Store
bo_g2emf964fc,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615176000000,False,False,r_7bwhvp8sqm,44859,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_4mv89zj9qa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1615173300000,True,True,r_2zo3xxrc,52221,Hearthstone Decor,https://www.facebook.com/hearthstonedecor/,
bo_3mzcxlytxa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1615137301000,False,False,r_m94upj3h60,346272,ANTHEM,https://anthemsf.online/,Home Decor Store
bo_dmti8qc9mj,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1615137301000,False,False,r_m94upj3h60,9888,ANTHEM,https://anthemsf.online/,Home Decor Store
bo_a1719iagth,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1615063501000,True,True,r_b3n3q16sog,27455,Details Comforts For The Home,http://detailscomforts.com/,Home Decor Store
bo_22sptyed54,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614894000000,True,True,r_s8qy0kpg,26085,Bridgehouse Interiors,,
bo_6m45xcnf1c,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1614894000000,True,True,r_s8qy0kpg,5577,Bridgehouse Interiors,,
bo_5nel4mj9ku,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1614889634000,False,False,r_5tq6fycxd3,1090,La Petite Maison Antiques,https://www.shoplpm.com/,Home Decor Store
bo_2n4d1jvdxi,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614813900000,False,False,r_1sethou3gh,36826,arielle st. pé,http://nellamoon.com/,
bo_2p6d6hvka2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1614795901000,False,False,r_8o8ritxl,47961,Les Fleurs,https://lesfleurs.com/,
bo_blsds7y98f,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1614701513000,True,True,r_d425wb0o,10901,The Gold Trout,http://www.goldtrout.com/,General or Mercantile Store
bo_a00bgaqor8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614558000000,False,False,r_csizenhjv3,53298,Blu Canoe,http://www.theblucanoe.com,Home Decor Store
bo_2cbtz1pga8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614488701000,True,True,r_cue1nwyqgj,28620,Splendid Avenue,https://maps.google.com/?cid=2498602941052896481,Home Decor Store
bo_cb9m7cl6vi,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614468601000,True,True,r_2rgmilet3a,58204,Alexandra Lauren Interiors Design,http://www.AlexandraLauren.com,Home Decor Store
bo_bmrgvx00rf,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1614468601000,True,True,r_2rgmilet3a,0,Alexandra Lauren Interiors Design,http://www.AlexandraLauren.com,Home Decor Store
bo_10zh595p84,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1614303600000,False,False,r_9v83km73y6,267300,Mills Pharmacy + Apothecary,http://www.millspharmacy.com/,Gift Store
bo_a7n9smndsh,BACKORDER,CANCELED,CANCELED,ELEVATE,1614303600000,False,False,r_9v83km73y6,0,Mills Pharmacy + Apothecary,http://www.millspharmacy.com/,Gift Store
bo_1tism6fml6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1614268201000,False,False,r_7dz37sa3,69760,Hatchet Hardware,http://www.hatchethardware.com,Home Decor Store
bo_7z3d3p6eet,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1614268201000,False,False,r_7dz37sa3,10462,Hatchet Hardware,http://www.hatchethardware.com,Home Decor Store
bo_683xkuizil,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1614027022000,True,True,r_ck2s7zbn,841,Humbled Coffeehouse,http://www.humbledcoffeehouse.com/,
bo_1dt0m69n6c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613997001000,True,True,r_dymna1y6ij,33462,Salt and Vine Interiors,http://www.saltandvineinteriors.com,Home Decor Store
bo_cdpak43a35,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613951701000,True,True,r_chg4rml5zz,27885,indigo octopus,http://INDIGOOCTOPUS.COM,Clothing Boutique
bo_btypxucwce,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1613861400000,False,False,r_5tq6fycxd3,37078,La Petite Maison Antiques,https://www.shoplpm.com/,Home Decor Store
bo_drfci2qcr4,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1613861400000,False,False,r_5tq6fycxd3,7884,La Petite Maison Antiques,https://www.shoplpm.com/,Home Decor Store
bo_5e71pl0cyp,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1613692500000,False,False,r_d28krm0zvs,0,The Maple House Co.,http://www.themaplehouseco.com/,Home Decor Store
bo_7wkkp466dw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613678701000,True,True,r_d425wb0o,49771,The Gold Trout,http://www.goldtrout.com/,General or Mercantile Store
bo_4drc8mefx8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1613608253000,False,False,r_hw98kkwm5l,7687,nest,,Furniture Store
bo_9vx6d21zf1,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1613590203000,True,True,r_difoepmjye,42048,Bloom,,Home Decor Store
bo_6won6bwsr7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613419203000,True,True,r_dl3x0awcre,36479,The Bed Room,http://www.thebedroomparkcity.com,Furniture Store
bo_57y3kgk6h7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613320201000,True,True,r_6lmcnah4pa,26576,French Mercantile,http://www.frenchmercantilehome.com/,Home Decor Store
bo_c9ixgtm4wd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1613146802000,True,True,r_9gnfm5us,133891,Salt Creek Farmhouse,,
bo_55jhw5mik5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612989301000,True,True,r_ck2s7zbn,65138,Humbled Coffeehouse,http://www.humbledcoffeehouse.com/,
bo_20cpmatz81,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612906201000,True,True,r_7cvitf4lgn,87710,Toadflax Inc Walnut St,http://www.toadflax.com/,Florist or Garden Store
bo_4s7pgv6deu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612638305000,True,True,r_b58xx4uzld,22815,Love to Cook,http://www.luvtocook.com/,
bo_92tltbruin,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1612554001000,False,False,r_a4paeaqvrr,0,BLUEPRINT CT KITCHEN & HOME,http://www.shopblueprintct.com/,General or Mercantile Store
bo_6190mmagci,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612532700000,False,False,r_792qhi39,29994,Modern Country Lifestyle,http://www.moderncountrylifestyle.com,General or Mercantile Store
bo_7zp4w0odhz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612479000000,True,True,r_6hg21rcxlr,45123,Cailini Coastal,http://www.cailinicoastal.com,Home Decor Store
bo_acaezvnz6l,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612448701000,True,True,r_bxspns0s,67305,"SCOUT of Marion, 725 11th st, Marion, IA 52302",http://www.scoutofmarion.com/,General or Mercantile Store
bo_9sfhehu7kr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612423201000,True,True,r_24ozh9lw,61840,PRIZE,http://www.prizeshoppe.com,Gift Store
bo_xsfc9izj22,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612420200000,True,True,r_ke6zcv932s,186566,Essentials,http://Www.essentialsofokc.com,Gift Store
bo_2nmyrxv1p3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612410301000,True,True,r_6e2rmm9n,228676,hedge & vine,http://www.hedgeandvine.com/,Gift Store
bo_ahlmmyt6ie,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612409700000,True,True,r_4a9u4v1f,30420,Martin Mattox,http://martinmattox.com,
bo_2k2icimfwa,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612407901000,False,False,r_5olc2wogc5,54602,Beautyhabit,http://www.beautyhabit.com,General or Mercantile Store
bo_7t3nyhl7xr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612403701000,True,False,r_f4jbf0p941,148564,Napa Valley Vintage Home,http://vintagehomenapavalley.com,Home Decor Store
bo_7ms099cbo2,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612391100000,True,True,r_f4jbf0p941,345324,Napa Valley Vintage Home,http://vintagehomenapavalley.com,Home Decor Store
bo_7glwyr1nwh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612389300000,False,False,r_7bwhvp8sqm,86213,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_ansso20ikg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612389300000,False,False,r_7bwhvp8sqm,71552,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_ctg4is19l5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612385701000,True,True,r_7l7snty5,60856,The Beach Plum,https://thebeachplum.com/,Gift Store
bo_7z9dzohbaz,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1612384200000,True,True,r_ae6e5zc27v,0,Fina Tavola,http://www.finatavola.com,Gift Store
bo_37k9rzjoqd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612382701000,True,True,r_duc9q7uv,51740,Paradigm Texas,http://paradigmtexas.com/,Home Decor Store
bo_cr06jtgttj,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612382400000,True,True,r_dgdm6btu,157747,Counterpoint,https://www.counterpointhome.com/,
bo_3w00hh9zhz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612368001000,False,False,r_ey2z42d0,52051,Monroe Home & Style,http://www.monroeboston.com,Home Decor Store
bo_e55qm2ihd5,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1612328400000,False,False,r_7bwhvp8sqm,0,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_5xr424mps1,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612302900000,True,True,r_j51umafh,52538,Salt House Mercantile,http://www.Modest-Home.com,General or Mercantile Store
bo_hoa5r3gss6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612293300000,True,True,r_hw98kkwm5l,74771,nest,,Furniture Store
bo_7hf17sue6y,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1612293300000,True,True,r_hw98kkwm5l,8278,nest,,Furniture Store
bo_2xvlya9tsa,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612291501000,True,True,r_4jzdc95d7b,91210,Elizabeth Grace Home,http://www.elizabethgracehome.com/,Home Decor Store
bo_43iimnfzxw,BACKORDER,DELIVERED,FULFILLED,ELEVATE,1612291501000,True,True,r_4jzdc95d7b,5027,Elizabeth Grace Home,http://www.elizabethgracehome.com/,Home Decor Store
bo_bdrxx5nlh0,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1612287600000,True,False,r_3r9u0kx2il,0,ACRES home + garden,http://shopacres.com/,General or Mercantile Store
bo_5kg4d6jagl,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612283100000,True,True,r_bntrd36o,38514,exit nineteen,http://www.exitnineteen.com/,Home Decor Store
bo_809wrg8qg8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612224301000,False,False,r_m94upj3h60,321667,ANTHEM,https://anthemsf.online/,Home Decor Store
bo_7mfp9f91yd,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1612224301000,True,True,r_3r9u0kx2il,0,ACRES home + garden,http://shopacres.com/,General or Mercantile Store
bo_8ajsb1uqj4,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1612212715000,True,True,r_4gn3cgsf,0,ERBA REATIL STORE,http://loveerba.com,Gift Store
bo_4wime0htpw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612212202000,True,True,r_pir86jhg,53720,Details by Liz Hand Woods,,
bo_66n2k47e57,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612210501000,True,True,r_25e5x2gdh9,304372,A Custom House,http://www.acustomhouse.com/,Furniture Store
bo_kwh1b7uc1n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612207501000,True,True,r_3lh9ekt46m,50852,Maison Blue,http://maisonblue.com/,Home Decor Store
bo_34f2t515px,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612207501000,True,True,r_d4ij1dnq61,56765,Paula Slof,http://ekubox.com,
bo_7hsdxks8qg,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612199701000,True,True,r_76exzilm6n,75392,White House Home,https://maps.google.com/?cid=2712829221768449752,Home Decor Store
bo_an1v9mb48p,BACKORDER,DELIVERED,FULFILLED,MARKETPLACE,1612199701000,True,True,r_76exzilm6n,12417,White House Home,https://maps.google.com/?cid=2712829221768449752,Home Decor Store
bo_9fjvzta22k,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612191901000,False,False,r_ecki7omyhl,88995,Blanche & Mimi,http://www.blancheandmimi.com/,
bo_7eu0tq2t8c,BACKORDER,CANCELED,CANCELED,ELEVATE,1612191901000,False,False,r_ecki7omyhl,0,Blanche & Mimi,http://www.blancheandmimi.com/,
bo_8tmzpe4qve,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1612190401000,True,True,r_gt7j4o10yz,148416,Oak Manor Fragrances,http://www.oakmanorfragrances.com,
bo_eod0p5lq3t,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1612141800000,False,False,r_7bwhvp8sqm,0,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_6woenfwtw7,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1612063500000,True,True,r_3tkczbghiw,27632,Dottie Sue's,,Gift Store
bo_77gsw6an7v,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1611810900000,True,True,r_wj4zqk1y3v,28139,Auburn Cove,http://auburncove.com/,Home Decor Store
bo_b5nt449muy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1611783300000,False,False,r_32guw808bg,30240,Marguerite Gardens Florist,https://flowerpowerchicago.com/,Florist or Garden Store
bo_dqnzjkp3pf,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1611781200000,False,False,r_7bwhvp8sqm,63072,itzyuz,http://itzyuz.com/,Spa or Beauty Store
bo_6yiguvgh35,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1611624600000,False,False,r_6ovf9yx1r3,38874,Kaki Company,http://www.kakijane.com,Home Decor Store
bo_1k3yntkmnr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1611600000000,True,True,r_csizenhjv3,38000,Blu Canoe,http://www.theblucanoe.com,Home Decor Store
bo_8plsm8x9fa,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1611600000000,True,True,r_csizenhjv3,0,Blu Canoe,http://www.theblucanoe.com,Home Decor Store
bo_drhpvul65f,BACKORDER,CANCELED,CANCELED,MARKETPLACE,1611600000000,True,True,r_csizenhjv3,0,Blu Canoe,http://www.theblucanoe.com,Home Decor Store
