tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values,retailer_names,retailer_website_urls,retailer_store_types,is_insider
bo_97kvkppp7e,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688774375000,False,False,r_dmbjlj6jzb,13101,Choose Joy Kids,https://m.facebook.com/Choose-Joy-Kids-118945470103462/?tsid=0.01062031125325928&source=result,Clothing Boutique,False
bo_kywh78jj5b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688676441000,False,False,r_1ckglnagfk,9480,LUXURIOUS PEACE,http://WWW.LUXURIOUSPEACE.COM,Spa or Beauty Store,True
bo_g2f8sy3j5q,SPLIT_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688676441000,False,False,r_1ckglnagfk,3126,LUXURIOUS PEACE,http://WWW.LUXURIOUSPEACE.COM,Spa or Beauty Store,True
bo_ayrdx5bg3q,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688586500000,False,False,r_aam1xngp02,15592,Learning Express,https://learningexpress.com/z60137,Kids or Toy Store,True
bo_3b44vrpjte,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688575100000,False,False,r_3lf51qhveo,10818,Uppercrust,http://uppercrustgnv.com/,Cafe or Restaurant,True
bo_yf4645pvnt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688574500000,False,False,r_bjisblaay2,54666,Sugar Wave,http://sugarwave30a.com/,Kids or Toy Store,True
bo_9g78tvaeff,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688446334000,False,False,r_dua75ukl8t,14752,Tahoma Living,http://tahoma-living.com/,Gift Store,True
bo_ttbzxr7zsd,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688311819000,False,False,r_agdoz56ry9,10977,Karens Country Store,https://maps.google.com/?cid=9567421260493874469,General or Mercantile Store,True
bo_f7bjpm7x2b,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688249419000,False,False,r_1k0nddah4b,12900,River Laurel Gifts & Boutique,http://www.riverlaurelgifts.com/,Gift Store,True
bo_7nfjmm8tru,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688235619000,False,False,r_58tbc4hc,13794,Rock Paper Scissors,http://www.rockpaperscissor.com/,Gift Store,True
bo_vfu75s3u64,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688223019000,True,True,r_1wrtfces,24974,Blackbird Attic,http://www.facebook.com/blackbirdattic,Gift Store,True
bo_mjpvbkywdr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688059439000,False,False,r_6jqwzj2e,13696,Mountain And Main,https://www.facebook.com/mountainandmainspecialtygifts/,Gift Store,True
bo_rxmjyxm9sz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1688050699000,False,False,r_5uk8f8atmi,10642,Lili and Bray,https://liliandbray.commentsold.com,Clothing Boutique,True
bo_7k9tpu8aqs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687990099000,False,False,r_vaxnb2dsh1,11787,Ziggy Zelda,,Gift Store,True
bo_m3ehdwv7ck,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687980799000,True,True,r_chsovu0132,18498,The Mason Jar Shoppe,http://themasonjarshoppe.com/,Gift Store,True
bo_mvcqeem4zb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687978999000,False,False,r_1iihnxls6w,11452,Gifts Ahoy,http://www.giftsahoyfudge.com/,Gift Store,True
bo_w6ww7fx9ff,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687955111000,True,True,r_brb8uyqz2e,20262,Amani Ariel Beauty,http://amaniarielbeauty.com/,Spa or Beauty Store,True
bo_2u2dxy94fz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687910711000,False,False,r_369xurrafj,15592,Perry's Parcel & Gift,http://perrysparcel.com,Gift Store,True
bo_c9cyfarktp,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1687902011000,False,False,r_dndouihw3x,13638,Frames On Main,"https://maps.google.com/?q=105+N+Main+St,+Mt+Gilead,+NC+27306,+USA&ftid=0x88548c737067272f:0xd6205eaed1d7d36",Gift Store,False
