Brand Name,Average Rating,Number of Reviews,First Order Minimum Amount,Minimum Order Amount,Reorder Minimum Amount,Sold on Amazon,Eco-Friendly,Hand-Made,Charitable,Organic,Woman Owned,Small Batch,Upper Bound Lead Time Days,Lower Bound Lead Time Days
Jack Archer,0.0,0,150.0,150.0,150.0,False,False,False,False,False,False,False,,
David Edwards,0.0,0,200.0,200.0,200.0,False,False,False,False,False,False,False,11.0,4.0
SURFSIDESUPPLY,5.0,31,95.0,95.0,50.0,False,True,False,False,False,False,False,3.0,1.0
Brooklyn Brigade,5.0,1,500.0,500.0,300.0,False,False,False,False,False,False,False,10.0,8.0
MOD REF,4.8,115,0.0,0.0,0.0,False,False,False,False,False,False,False,3.0,1.0
