tokens,names,types,states,start_sending_at,recipient_count,delivered_count,view_count,click_count,open_based_orders_count,open_based_total_order_value,click_based_orders_count,click_based_total_order_value
bmc_qarb5yd3f3,🚨Don't Miss Out FREE SHIPPING🚨,ONE_TIME,COMPLETED,1639155651000.0,1663.0,1318.0,367.0,9.0,5.0,1333.0,0.0,0.0
bmc_ahqsk3mvgs,🔔Take 25% off for Glassware🔔,ONE_TIME,COMPLETED,1636650000000.0,1656.0,1328.0,303.0,25.0,5.0,1450.0,1.0,154.0
bmc_cd34ddnhwz,🥂It's time for Thanksgiving Decorations🍾,ONE_TIME,COMPLETED,1634832000000.0,1647.0,1324.0,288.0,8.0,4.0,1162.0,1.0,468.0
bmc_ch25d9nhm5,Linens are back in stock ,ONE_TIME,COMPLETED,1633017600000.0,1630.0,1353.0,265.0,25.0,6.0,1608.0,4.0,1482.0
bmc_2kvujztaq5,🚨 Linens are Back in Stock Soon! 🚨,ONE_TIME,COMPLETED,1631808000000.0,1623.0,1347.0,259.0,3.0,7.0,1460.0,0.0,0.0
bmc_getr66fca4,🚨📢 TWO-TONE GINGHAM IS BACK 🚨📢,ONE_TIME,COMPLETED,1629993600000.0,1610.0,1304.0,244.0,26.0,11.0,4334.0,5.0,1632.0
bmc_5s4w8zh5tq,📢📢GLASSWARE COLLECTIONS IS BACK!📢📢,ONE_TIME,COMPLETED,1629388800000.0,1606.0,1319.0,295.0,32.0,10.0,2597.0,4.0,1434.0
bmc_h8nhgz8kjp,🚨LAST CHANCE to get 20% off EVERYTHING🚨,ONE_TIME,COMPLETED,1627574400000.0,1585.0,1050.0,173.0,19.0,3.0,1308.0,1.0,524.0
bmc_a8z4n6a94k,🚨Don't Miss Out! 20% off EVERYTHING🚨,ONE_TIME,COMPLETED,1627488000000.0,1581.0,1123.0,186.0,25.0,9.0,3245.0,6.0,2339.0
bmc_bzbhmga2gq,summer sale,ONE_TIME,COMPLETED,1626969600000.0,1575.0,1337.0,217.0,32.0,17.0,7859.0,10.0,4418.0
