tokens,creation_reasons,states,fulfillment_states,sources,brand_contacted_at_values,first_order_for_brand_values,very_first_order_for_brand_values,retailer_tokens,payout_total_values
bo_27wnsv6mmx,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660250700000,False,False,r_3k8x34kj4u,12530
bo_d8rnqzgheg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660237201000,False,False,r_ecki7omyhl,53600
bo_ubkst4s5wu,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1660184101000,False,False,r_24ozh9lw,26000
bo_th84fdhaje,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1660067101000,True,True,r_e1epo1ci,203575
bo_njcqjwhu7r,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659855001000,True,True,r_j2yj2qbdpz,21950
bo_bxu87brvdj,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1659750555000,False,False,r_7sf9qksn75,4465
bo_3zre3crz6y,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659724501000,False,False,r_1fl79vdjwu,16525
bo_zt6mqxqwn5,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1659642001000,True,True,r_5a7ja4wfx3,0
bo_mxjc8s9a5d,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659453001000,False,False,r_dn879w4p77,4500
bo_da6ztjaccf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659452400000,False,False,r_vnxaurdv42,18320
bo_zar679kvd2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659329701000,True,True,r_200c57u9,49100
bo_sdaznzd2jr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659307501000,True,True,r_cswuc5d3d4,34550
bo_7g7mhnpbr8,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659199801000,True,True,r_nby4vnec7q,20750
bo_at8pcm6hpe,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659192300000,False,False,r_3ls4h5wljx,32715
bo_ewdvk6bps2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659123301000,False,False,r_4c53iawghz,24985
bo_rgxwm52hgb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659046501000,True,True,r_e3zny8gb52,29500
bo_35bzevbaey,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659037501000,False,False,r_8jb2c7n0ys,17600
bo_rwhrv6rjzy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1659035702000,False,False,r_ntiip9no,75000
bo_ntg2a4ptpc,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1658932137000,False,False,r_8qi9jp2ly5,7398
bo_hnwze8g8ks,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658904001000,False,False,r_2wfdlbbi,35300
bo_z8qycmpv7q,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1658874371000,False,False,r_dhugo2sk,12160
bo_rgxt7hz4qx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658779501000,False,False,r_ecki7omyhl,58000
bo_78j3grqsm6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658775900000,False,False,r_bh3qb2gk76,51600
bo_8resj2fve7,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658549700000,False,False,r_7sf9qksn75,77055
bo_pb72rkheef,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658537700000,True,True,r_3anj92f27h,29444
bo_4tba3dv3kn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658532601000,True,True,r_93p982fw,36858
bo_f6dtkhtb5s,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658530501000,False,False,r_6kskscz7,47580
bo_vvw4fd7nfr,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658523000000,False,False,r_1ly34du03p,46014
bo_6vsu4bxjh5,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658513400000,True,True,r_jk7xuz3pay,134772
bo_dm2vyd4kjs,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658511901000,True,True,r_24ozh9lw,22070
bo_mdbb5yza7w,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658509801000,False,False,r_6e2rmm9n,94620
bo_su5m356sek,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658509201000,False,False,r_2esqo45534,62635
bo_7traztexsj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658508301000,True,True,r_1tt4e0w3h1,50452
bo_4dg7hsedbk,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658429100000,False,False,r_bknjqhh6g5,19715
bo_bajpetmyx6,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658421900000,True,True,r_20ulbyqu3b,43540
bo_zdg7evny6n,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658401201000,False,False,r_ecki7omyhl,12100
bo_xh47vc4nsy,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658374201000,False,False,r_a090a6aqgh,31893
bo_fn929t6ggz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658368500000,False,False,r_1xsyto1p,24540
bo_6y97x6tyuz,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658361300000,False,False,r_axvecdihbq,38980
bo_xfte4fn8qn,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658357701000,False,False,r_ksdxumqmwb,21880
bo_b3dy38erqt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658344201000,False,False,r_5shbhfbbp9,21765
bo_bbsztmqddu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658343901000,False,False,r_2c3iogc79v,19150
bo_esttxs27bq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658341201000,False,False,r_7e9hpvmupu,19458
bo_5jckvudtev,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658332500000,False,False,r_15ukle6d73,25800
bo_fwf8yqnfdq,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658330100000,False,False,r_xmfbykjmnh,57295
bo_nw588ne5up,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658322301000,True,True,r_ptmyyqx2uq,81260
bo_du3xfema8g,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658319901000,False,False,r_76lmip9h,20458
bo_kzyzt23yar,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658292901000,True,True,r_14j9u6en,22596
bo_np5b4pey98,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658288701000,True,True,r_2dei1mp50z,25235
bo_u5nbs7tfnb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658282100000,False,False,r_77ws1cjh,50878
bo_764gqdmy24,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658281200000,True,True,r_84zs6grepn,38284
bo_3mhnayqt8h,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658278201000,False,False,r_792qhi39,23818
bo_u38kqgay3t,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658268901000,False,False,r_94e1hy8tbr,25772
bo_tf3h95puxd,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658260801000,False,False,r_dhugo2sk,16610
bo_kwj2uhyc59,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658257501000,False,False,r_2bjh6qmfie,45060
bo_zaa8b4sr4q,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658255101000,False,False,r_1fl79vdjwu,51758
bo_thkcqx2c8f,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658253901000,False,False,r_ecki7omyhl,35800
bo_d5u5x7gj7c,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658253000000,False,False,r_7kn67hsf,13200
bo_q7bmjza454,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658248801000,False,False,r_9mkbeyp9j0,24087
bo_22rfzbcctz,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658248801000,False,False,r_9mkbeyp9j0,32862
bo_5tv53m9fra,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658240400000,False,False,r_csizenhjv3,47636
bo_gq2rnbtbtb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658221800000,False,False,r_es1krd7i5g,22450
bo_t68d8g8bss,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658212501000,True,True,r_9i101bislx,32365
bo_n64sqyyybw,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658208901000,False,False,r_5gd2nhx7a6,106110
bo_wjxby6tnfj,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658206801000,False,False,r_8qi9jp2ly5,21718
bo_3k9hvc2r75,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658206500000,False,False,r_9c9rmynxjn,31728
bo_43u426etj4,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1658180101000,False,False,r_7sf9qksn75,0
bo_qrdbtffgt3,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658175001000,False,False,r_1oxewhxc,165170
bo_vzautdhean,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658170800000,False,False,r_bufcg6px0v,22057
bo_e6uvqb6s7j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658140801000,False,False,r_ea2xrl52qe,15525
bo_qke2qan6dc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658133601000,False,False,r_8m9zenb03m,78175
bo_egf8r9cnga,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658083500000,True,True,r_9yxrsek46r,50550
bo_tp6vqjudkb,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1658037001000,True,True,r_ews6m54imp,12600
bo_3jbjfphhsh,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1658021101000,True,True,r_aa2ruguu4f,22800
bo_9qcpaac9cc,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657853100000,True,True,r_dnvy63pvk6,26600
bo_q6bwdzgxw3,NEW_ORDER,CANCELED,CANCELED,MARKETPLACE,1657845000000,False,False,r_xmfbykjmnh,0
bo_kbhgnhj55c,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657812001000,True,True,r_c3ffepxq4k,23250
bo_3uawyadbh6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657779601000,False,False,r_jprkap50,16600
bo_m4nvv9359p,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657669801000,False,False,r_880co51t8d,22500
bo_j3aqhg7zk2,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657647601000,False,False,r_7x9fbfeh8l,12200
bo_vk5br7ycyb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657647001000,False,False,r_7x9fbfeh8l,14240
bo_6zc3f45x4w,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657646401000,False,False,r_6o6r279wti,17750
bo_d64p3rmg9s,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657567501000,False,False,r_7kn67hsf,26500
bo_vbpcj3p79s,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657476000000,False,False,r_xyd65jcx9a,11850
bo_nf6b6sy8ym,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,MARKETPLACE,1657391529000,True,True,r_6s1hvkj5vf,3525
bo_ce37ecbtgu,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657378801000,True,True,r_3o6xifgx,82800
bo_2qpymf9qe6,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657312501000,False,False,r_2bjh6qmfie,48200
bo_5pv774gnrr,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657307701000,True,True,r_ecsf56pp,57900
bo_q2jv2yvyqe,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1657298256000,False,False,r_58ayhi50,6000
bo_nmsp76rgkh,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657214100000,False,False,r_cljs6d69nh,55600
bo_xk5s36vc9x,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657180201000,True,True,r_23x6ec4of9,53050
bo_u9fmzwf2pg,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657142700000,False,False,r_ecki7omyhl,40000
bo_6rsyhdbegf,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1657068901000,True,True,r_kjc55grme7,39200
bo_upwa5cqtmn,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657062001000,False,False,r_7kn67hsf,37700
bo_7x77ajpwwx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1657031401000,False,False,r_880co51t8d,130900
bo_attgk225y8,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1656977401000,False,False,r_cnjot9x6j3,18900
bo_uwydrq7y5j,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1656854400000,False,False,r_f04w7ihgd2,19410
bo_ttzk7vaaun,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1656823800000,True,True,r_6s1hvkj5vf,19775
bo_kf94bj9xzs,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1656807901000,False,False,r_4xpgnnl1da,21870
bo_qsw6ue5rq3,NEW_ORDER,CANCELED,CANCELED,ELEVATE,1656716400000,False,False,r_1oxewhxc,0
bo_f8c8h36ayb,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1656470101000,False,False,r_20tjx308x8,19150
bo_skaak6szz9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1656436801000,False,False,r_58ayhi50,43100
bo_s36smm9a9z,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1656377701000,False,False,r_j51umafh,55000
bo_n78t5h8szt,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1656359100000,False,False,r_4xpgnnl1da,17300
bo_takc3fbtwx,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1656358801000,False,False,r_ecki7omyhl,42500
bo_cugu3n9pe9,NEW_ORDER,DELIVERED,FULFILLED,ELEVATE,1656076501000,True,True,r_4q0jhuw3ln,40300
bo_a2trk7vt9v,REPLACE_DAMAGED_OR_MISSING_ITEMS,DELIVERED,FULFILLED,ELEVATE,1655930367000,False,False,r_2esqo45534,3450
bo_d7kj6k82uw,NEW_ORDER,DELIVERED,FULFILLED,MARKETPLACE,1655930101000,True,True,r_d2e1ikasln,20500
